FXI,Put,9/7/2021 08:27,Tuesday,08:27,2021-10-08,30,39.5,42.41,-6.86%,6001,1,6001.0,29.26%,-0.1916,0.0751,0.0339,-0.0158,-0.7304,0.43
FUSE,Call,9/7/2021 08:32,Tuesday,08:32,2021-10-15,37,12.5,9.99,25.13%,2234,3,744.6666666666666,131.90%,0.1904,0.0591,0.0081,-0.0049,0.1585,0.50
XLF,Put,9/7/2021 08:45,Tuesday,08:45,2021-09-24,16,36.0,38.06,-5.41%,12449,216,57.63425925925926,24.94%,-0.1576,0.1167,0.0199,-0.0153,-0.2918,0.18
EWJ,Call,9/7/2021 09:03,Tuesday,09:03,2021-10-15,37,76.0,72.09,5.42%,4625,20,231.25,16.48%,0.1643,0.0644,0.0577,-0.0124,1.2056,0.35
AMRS,Call,9/7/2021 09:05,Tuesday,09:05,2021-10-08,30,14.5,13.71,5.76%,400,3,133.33333333333334,70.59%,0.438,0.1383,0.0159,-0.0176,0.4459,0.90
IYR,Put,9/7/2021 09:25,Tuesday,09:25,2021-09-24,16,104.5,109.78,-4.81%,1275,5,255.0,21.17%,-0.1557,0.0473,0.0569,-0.0387,-0.8265,0.44
LUV,Call,9/7/2021 09:34,Tuesday,09:34,2021-09-17,9,50.5,48.06,5.08%,3074,460,6.682608695652174,33.63%,0.1976,0.1027,0.0224,-0.0366,0.2578,0.30
DKNG,Call,9/7/2021 09:43,Tuesday,09:43,2021-10-22,44,80.0,62.31,28.39%,263,1,263.0,53.24%,0.1069,0.0158,0.0404,-0.0238,0.756,0.60
EWZ,Put,9/7/2021 09:54,Tuesday,09:54,2021-11-19,72,32.0,36.48,-12.28%,582,3,194.0,38.54%,-0.1999,0.0444,0.0457,-0.0121,-1.6171,0.78
HIPO,Call,9/7/2021 09:58,Tuesday,09:58,2021-10-15,37,7.5,6.41,17.00%,6722,822,8.177615571776157,127.36%,0.4019,0.1428,0.0079,-0.0115,0.2066,0.65
SQQQ,Call,9/7/2021 10:08,Tuesday,10:08,2021-10-22,44,8.0,7.22,10.80%,379,42,9.023809523809524,65.27%,0.3642,0.2258,0.0095,-0.0067,0.2804,0.38
RLX,Put,9/7/2021 10:33,Tuesday,10:33,2021-09-17,9,7.5,7.09,5.78%,3235,421,7.684085510688836,126.04%,-0.5764,0.2597,0.0046,-0.0318,-0.1383,0.90
XOM,Call,9/7/2021 11:08,Tuesday,11:08,2021-10-01,23,58.0,54.69,6.05%,3735,587,6.362862010221465,25.80%,0.1968,0.0764,0.039,-0.0208,0.687,0.39
EWZ,Call,9/7/2021 11:17,Tuesday,11:17,2021-10-15,37,41.0,36.34,12.82%,6107,1789,3.413638904415875,29.61%,0.1135,0.0553,0.0226,-0.0088,0.4122,0.19
SWN,Call,9/7/2021 11:42,Tuesday,11:42,2021-10-15,37,5.5,5.05,8.91%,3115,569,5.474516695957821,59.81%,0.3571,0.383,0.0061,-0.0047,0.1656,0.23
ETRN,Call,9/7/2021 11:57,Tuesday,11:57,2022-01-21,135,12.5,9.25,35.14%,15035,391,38.452685421994886,41.98%,0.1373,0.0922,0.0124,-0.0018,0.4185,0.20
XOP,Call,9/7/2021 12:00,Tuesday,12:00,2021-11-19,72,105.0,84.07,24.90%,564,24,23.5,39.15%,0.1143,0.0131,0.0727,-0.0189,1.7741,0.79
RIOT,Call,9/7/2021 12:11,Tuesday,12:11,2021-09-10,2,33.5,31.8,5.35%,1954,80,24.425,117.39%,0.3344,0.1057,0.0107,-0.2017,0.0845,0.74
LOW,Call,9/7/2021 12:13,Tuesday,12:13,2021-10-22,44,230.0,206.43,11.42%,1034,1,1034.0,20.83%,0.0706,0.0089,0.0981,-0.022,1.745,0.51
BBIG,Put,9/7/2021 13:00,Tuesday,13:00,2021-09-24,16,6.0,8.16,-26.47%,442,68,6.5,268.39%,-0.218,0.0609,0.0051,-0.0448,-0.122,0.90
BP,Call,9/7/2021 13:09,Tuesday,13:09,2022-04-14,218,31.0,24.59,26.07%,432,20,21.6,29.67%,0.1633,0.0433,0.0467,-0.0028,2.1443,0.46
XPEV,Put,9/7/2021 13:17,Tuesday,13:17,2021-09-17,9,38.0,42.01,-9.55%,595,150,3.966666666666667,59.02%,-0.1411,0.0543,0.0156,-0.0458,-0.172,0.32
SPY,Put,9/7/2021 13:54,Tuesday,13:54,2021-09-13,5,390.0,451.79,-13.68%,11521,153,75.30065359477125,44.04%,-0.0043,0.0005,0.0073,-0.0267,-0.0325,0.04
