delta,tags,diff,avg_three_day_return,time_to_first_minus_thirty,days_to_expiry,time_to_first_plus_thirty_timestamp,time_to_first_minus_thirty_timestamp,option_symbol,time_to_first_minus_fifty,theta,time_spent_below_zero_in_hours,time_spent_above_fifty_in_hours,volume,industry_type,time_to_first_plus_fourty,gamma,avg_twentyone_day_return,low_return,time_to_first_minus_twenty_timestamp,avg_ask,amount_of_time_above_zero_percent,avg_fourteen_day_return,high_date_time,time_to_first_plus_ten,current_return,sector,tier,time_to_first_plus_fifty_timestamp,high_diff_time,implied_volatility,time_to_first_plus_ten_timestamp,option_type,ticker_symbol,low_diff_time,time_to_first_minus_ten,ask,time_to_first_plus_hundred,emojis,itm_time,buy_amount,time_to_first_minus_ten_timestamp,time_to_first_plus_hundred_timestamp,amount_of_time_above_thirty_percent,amount_of_time_above_ten_percent,amount_of_time_above_hundred_percent,avg_one_day_return,open_interest,alert_time,bid,company_name,time_to_first_minus_fourty_timestamp,low,expires_at,time_to_first_plus_fourty_timestamp,avg_seven_day_return,time_to_first_minus_fourty,amount_of_time_below_zero_percent,time_to_first_minus_twenty,time_spent_above_hundred_in_hours,ever_itm,amount_of_time_above_itm_percent,theo,avg_return,time_to_first_plus_fifty,high,rho,low_date_time,vega,id,time_spent_above_thirty_in_hours,time_to_first_plus_thirty,amount_of_time_above_fifty_percent,high_return,underlying_purchase_price,time_to_first_plus_twenty_timestamp,strike_price,time_to_first_plus_twenty,time_to_first_minus_fifty_timestamp
-0.0921,-,-8.102656057,-0.242344129,75.52555556,-27,,2021-06-04 17:36:24Z,RTX210618P00082000,145.9777778,-0.0278,44675.87889,0,1223,Aircraft Engine and Engine Parts Manufacturing,,0.0284,-44.52044384,-88.23529412,2021-06-04 15:04:42Z,0.141472868,5.813953488,-42.47802569,2021-06-14 18:24:30Z,0.248611111,-80.39215686,Electronic Technology,free,,48.23055556,0.2996,2021-06-01 14:19:47Z,put,RTX,316.3272222,72.03027778,0.27,,????,,31186.5,2021-06-04 14:06:41Z,,0,2.325581395,0,4.964539007,77,2021-06-01 14:04:52Z,0.24,Raytheon Technologies Corporation,2021-06-07 14:54:54Z,0.03,2021-06-18,,-20.09803922,144.8338889,94.18604651,72.99722222,0,FALSE,0,0.2563,-44.52044384,,0.34,-0.4012,2021-06-03 14:18:42Z,0.0321,4ef0bee6-bcb6-49d6-ac7d-1c4d67e18cf8,0,,0,33.33333333,89.23,2021-06-03 13:46:11Z,82,47.68861111,2021-06-07 16:03:32Z
0.1333,-,9.899619245,10.59431525,,-13,2021-06-01 14:19:52Z,,BBY210702C00127000,,-0.0321,64.24666667,0,744,Household Appliance Stores,,0.0216,10.59431525,-5.426356589,2021-06-01 20:01:33Z,0.713333333,4.761904762,10.59431525,2021-06-01 20:01:33Z,0.525,-5.426356589,Retail Trade,premium,,0.244166667,0.2939,2021-06-01 14:36:43Z,call,BBY,5.938888889,0.525,0.81,,,,47988,2021-06-01 14:36:43Z,,4.761904762,4.761904762,0,10.59431525,6,2021-06-01 14:05:13Z,0.48,Best Buy Co. Inc.,,0.61,2021-07-02,,10.59431525,,95.23809524,5.938888889,0,FALSE,0,0.6444,10.59431525,,1.06,1.2646,2021-06-01 14:19:52Z,0.0727,5dc2d5c1-1535-4aa2-997d-23328b11b517,0.244166667,0.244166667,0,64.34108527,115.56,2021-06-01 14:19:52Z,127,0.244166667,
-0.2419,-,-12.09563994,0.584795322,,-27,,,SCWX210618P00012500,,-0.0287,701.01,0,682,Data Processing  Hosting  and Related Services,,0.1045,0.584795322,-15.78947368,2021-06-02 19:33:27Z,0.477777778,8.888888889,0.584795322,2021-06-02 19:33:27Z,0.198333333,-5.263157895,Technology Services,premium,,1.030277778,0.9583,2021-06-01 14:19:58Z,put,SCWX,29.42305556,23.8825,0.5,,??????,,32395,2021-06-02 14:01:01Z,,0,8.888888889,0,0.584795322,31,2021-06-01 14:08:04Z,0.45,SecureWorks Corp - Class A,,0.4,2021-06-18,,0.584795322,,91.11111111,29.42305556,0,FALSE,0,0.475,0.584795322,,0.6,-0.1859,2021-06-01 15:09:53Z,0.0097,9c2fd81d-6029-43b9-8804-6824e5d8a699,0,,0,26.31578947,14.22,2021-06-01 15:09:53Z,12.5,1.030277778,
-0.7288,-,34.14634146,3.681936041,,190,2021-06-16 18:24:30Z,,KGC220121P00011000,,-0.0022,672.2797222,48442.56917,300,Gold Ore Mining,364.2261111,0.108,17.71970495,0,,4.303889675,94.76661952,6.941538462,2021-06-01 18:18:38Z,0.135555556,47.69230769,Non-Energy Minerals,premium,2021-06-16 18:24:30Z,1007.587222,0.463,2021-06-01 14:19:04Z,put,KGC,4.128333333,,3.3,,?????,2021-06-01 14:19:04Z,97500,,,61.95190948,67.75106082,0,1.538461538,1,2021-06-01 14:10:56Z,3.2,Kinross Gold Corp.,,3.25,2022-01-21,2021-06-16 18:24:30Z,4.727681078,,5.233380481,,0,TRUE,100,3.25,32.42737461,364.2261111,5.45,-5.9208,2021-07-13 13:46:10Z,0.0216,7f6e7f3a-1b7c-4651-907c-0cbc3fe0cf18,313457.6906,364.2261111,8.628005658,67.69230769,8.2,2021-06-16 15:47:36Z,11,361.6111111,
0.1724,-,7.719928187,14.43994602,0.948888889,-41,2021-06-02 15:40:54Z,2021-06-01 15:09:08Z,OXY210604C00030000,72.22027778,-0.0809,1181.989722,478.6266667,6360,Crude Petroleum and Natural Gas Extraction,26.02944444,0.1201,14.43994602,-89.47368421,2021-06-01 15:09:08Z,0.217435897,52.56410256,14.43994602,2021-06-04 15:42:10Z,0.114166667,-89.47368421,Energy Minerals,free,2021-06-02 16:13:58Z,27.13527778,0.8047,2021-06-01 14:19:03Z,call,OXY,73.49944444,0.673055556,0.2,26.58222222,????,,120840,2021-06-01 14:52:35Z,2021-06-02 16:47:08Z,30.76923077,46.15384615,5.128205128,29.5194508,877,2021-06-01 14:12:12Z,0.18,Occidental Petroleum Corp.,2021-06-04 14:25:25Z,0.02,2021-06-04,2021-06-02 16:13:58Z,14.43994602,72.22027778,47.43589744,0.948888889,128.6997222,FALSE,0,0.19,14.43994602,26.02944444,0.49,0.0415,2021-06-02 17:20:19Z,0.0067,752a3b22-bffb-483c-b90c-0ca6b93d16d7,840.1702778,25.47833333,19.23076923,157.8947368,27.85,2021-06-02 14:34:34Z,30,24.37277778,2021-06-04 14:25:25Z
-0.2789,-,-5.808477237,-18.69092206,1.194722222,-27,,2021-06-01 15:25:29Z,GPS210618P00030000,5.805,-0.0344,37501.30639,0,5098,Family Clothing Stores,,0.0973,-47.77628032,-95.23809524,2021-06-01 14:18:44Z,0.329009434,3.773584906,-40.46317981,2021-06-17 14:21:09Z,0.082222222,-95.23809524,Retail Trade,premium,,73.48388889,0.4979,2021-06-01 14:18:44Z,put,GPS,384.1225,0.082222222,0.7,,????,,321174,2021-06-01 14:18:44Z,,0,2.358490566,0,-30.26004728,1386,2021-06-01 14:13:48Z,0.56,Gap  Inc.,2021-06-01 15:59:45Z,0.03,2021-06-18,,-19.59064327,1.765833333,96.22641509,0.082222222,0,FALSE,0,0.63,-47.77628032,,0.82,-0.45,2021-06-04 15:42:50Z,0.0232,f25954a6-d7b7-4c54-89a8-50280e11cca2,0,,0,30.15873016,31.85,,30,,2021-06-01 20:02:06Z
-0.2826,-,8.932461874,-3.090909091,580.1930556,92,,2021-06-25 18:32:08Z,VTNR211015P00010000,695.4208333,-0.0149,131796.9711,0,1093,Petroleum Refineries,,0.0283,-5.67804878,-59,2021-06-24 13:47:26Z,3.931690141,1.971830986,-5.67804878,2021-06-30 18:48:45Z,0.246388889,-53,Industrial Services,free,,23.42583333,2.0665,2021-06-01 14:35:20Z,put,VTNR,700.47,49.12722222,5.1,,???????,2021-06-01 14:35:20Z,546500,2021-06-03 15:28:11Z,,0,0,0,0.255319149,117,2021-06-01 14:20:33Z,4.9,Vertex Energy Inc,2021-06-30 13:45:48Z,2.05,2021-10-15,,-4.321167883,695.4208333,98.02816901,551.4480556,0,TRUE,71.54929577,5.0001,-21.36619718,,5.6,-2.8473,2021-06-02 13:46:06Z,0.0189,088d97e7-22e3-49a5-bece-842f869141d2,0,,0,12,9.18,,10,,2021-06-30 13:45:48Z
-0.7622,-,11.06175033,4.367897727,578.4188889,1,2021-06-16 18:23:40Z,2021-06-25 16:46:03Z,VALE210716P00025000,,-0.0103,214823.1967,6513.022222,401,Iron Ore Mining,364.0458333,0.1024,13.38148404,-28.125,2021-06-24 17:17:00Z,3.020797721,48.57549858,4.533333333,2021-06-25 16:46:03Z,0.241944444,-14.23611111,Non-Energy Minerals,premium,2021-06-18 14:37:40Z,410.0141667,0.3808,2021-06-01 14:35:26Z,put,VALE,578.4188889,26.17027778,2.97,,?????,2021-06-01 14:35:26Z,115488,2021-06-02 16:31:08Z,,7.692307692,18.94586895,0,4.218380615,15,2021-06-01 14:20:55Z,2.79,Vale S.A. - ADR,,2.07,2021-07-16,2021-06-16 18:23:40Z,6.2905515,,51.42450142,554.9347222,0,TRUE,100,2.88,4.88880975,408.2791667,5.65,-2.4856,2021-06-18 16:21:46Z,0.0245,73c73551-5a34-4fcb-9d86-c226a4121fac,24483.27861,364.0458333,1.994301994,96.18055556,22.51,2021-06-16 18:23:40Z,25,364.0458333,
-0.0485,-,-9.614461686,11.25,25.83611111,-41,2021-06-02 14:01:25Z,2021-06-02 16:13:55Z,SNAP210604P00056500,71.37027778,-0.0593,1320.824167,264.6752778,8823,Software Publishers,23.62777778,0.0261,11.25,-75,2021-06-01 17:25:59Z,0.089,38.57142857,11.25,2021-06-04 14:43:38Z,2.745555556,-75,Technology Services,premium,2021-06-02 14:01:25Z,47.92194444,0.6516,2021-06-01 17:08:29Z,put,SNAP,72.33138889,2.745555556,0.09,,???????????,,70584,2021-06-01 17:08:29Z,,20,38.57142857,0,8.423913043,295,2021-06-01 14:23:45Z,0.07,Snap Inc - Class A,2021-06-04 13:45:58Z,0.02,2021-06-04,2021-06-02 14:01:25Z,11.25,71.37027778,61.42857143,3.037222222,0,FALSE,0,0.0795,11.25,23.62777778,0.17,-0.0278,2021-06-03 14:19:04Z,0.0059,c5bc2023-d4e0-466e-bf7b-c5ac27cdbff5,638.1402778,23.62777778,8.571428571,112.5,62.51,2021-06-01 15:09:02Z,56.5,0.754722222,2021-06-04 13:45:58Z
0.0243,-,13.33170851,-28.39506173,23.57666667,-41,,2021-06-02 14:01:13Z,AMD210604C00093000,24.13111111,-0.0448,467.4375,0,3272,Semiconductor and Related Device Manufacturing,,0.0111,-28.39506173,-55.55555556,2021-06-01 14:35:25Z,0.032222222,0,-28.39506173,2021-06-02 14:34:29Z,0.146666667,-55.55555556,Electronic Technology,premium,,0.700555556,0.6622,2021-06-01 14:35:25Z,call,AMD,24.13111111,0.146666667,0.05,,?????,,14724,2021-06-01 14:35:25Z,,0,0,0,-28.39506173,110,2021-06-01 14:26:37Z,0.04,Advanced Micro Devices Inc.,2021-06-02 14:01:13Z,0.02,2021-06-04,,-28.39506173,23.57666667,100,0.146666667,0,FALSE,0,0.046,-28.39506173,,0.05,0.0174,2021-06-01 15:08:39Z,0.0044,e68204ef-f4b8-47c1-b6a7-8e3b3faa351e,0,,0,11.11111111,82.06,,93,,2021-06-02 14:34:29Z
