avg_twentyone_day_return,avg_fourteen_day_return,current_return,time_to_first_minus_fourty,implied_volatility,itm_time,time_to_first_plus_thirty,gamma,time_spent_above_hundred_in_hours,vega,delta,time_to_first_plus_thirty_timestamp,time_to_first_plus_fourty_timestamp,days_to_expiry,underlying_purchase_price,time_to_first_minus_fifty_timestamp,buy_amount,rho,theta,time_to_first_minus_thirty,high_diff_time,open_interest,amount_of_time_above_zero_percent,ever_itm,time_to_first_plus_fourty,alert_time,bid,expires_at,time_spent_below_zero_in_hours,avg_seven_day_return,amount_of_time_above_itm_percent,time_to_first_minus_fourty_timestamp,amount_of_time_above_thirty_percent,ticker_symbol,low_return,time_to_first_minus_thirty_timestamp,amount_of_time_below_zero_percent,time_to_first_minus_fifty,time_to_first_plus_ten,amount_of_time_above_ten_percent,avg_three_day_return,time_to_first_plus_twenty,low_diff_time,time_to_first_plus_fifty_timestamp,amount_of_time_above_fifty_percent,time_to_first_minus_ten_timestamp,time_to_first_plus_fifty,avg_ask,strike_price,time_to_first_minus_ten,option_symbol,time_to_first_plus_ten_timestamp,theo,tier,emojis,time_spent_above_thirty_in_hours,option_type,volume,low,time_to_first_minus_twenty_timestamp,sector,tags,high_return,time_to_first_plus_hundred,high,time_spent_above_fifty_in_hours,time_to_first_plus_twenty_timestamp,time_to_first_plus_hundred_timestamp,id,avg_one_day_return,industry_type,ask,time_to_first_minus_twenty,amount_of_time_above_hundred_percent,low_date_time,diff,avg_return,company_name,high_date_time
-25.91314123,-13.92869204,-88.36879433,335.9725,0.3455,2020-12-01 15:15:33Z,,0.0256,0,0.1378,-0.6974,,,5,121.9,2020-12-16 18:53:07Z,423000,-10.0234,-0.062,173.2197222,23.98666667,56,0.173611111,TRUE,,2020-12-01 15:02:29Z,10.15,2021-01-08,201813.1978,-10.71758953,69.44444444,2020-12-15 15:00:50Z,0,AAPL,-93.28605201,2020-12-08 20:15:40Z,99.82638889,363.8438889,0.217777778,0,-5.635483508,,673.9116667,,0,2020-12-01 17:11:16Z,,6.236545139,130,2.146388889,AAPL210108P00130000,2020-12-01 15:15:33Z,10.55,free,????????,0,put,400,0.71,2020-12-07 15:16:04Z,Electronic Technology,Electronic Technology - Telecommunications Equipment - Manufacturing - Electronic Computer Manufacturing,8.747044917,,11.5,0,,,b99676d8-76ee-4cad-b74f-9133c24ca585,-4.473883759,Electronic Computer Manufacturing,11,144.2263889,0,2020-12-29 16:57:11Z,6.644790812,-41.02557788,Apple Inc,2020-12-02 15:01:41Z
15.25311077,11.60341937,-5.906313646,,0.5194,2020-12-01 15:15:37Z,24.49916667,0.0185,0,0.0511,0.8609,2020-12-02 15:32:44Z,2020-12-15 15:00:54Z,-10,91.36,,2468502.5,4.2344,-0.0568,,366.0652778,500,70.72649573,TRUE,335.9686111,2020-12-01 15:02:47Z,12,2020-12-24,50336.85722,13.07889843,100,,19.87179487,AMD,-17.71894094,,29.27350427,,0.690833333,43.37606838,14.20424789,23.9825,197.7622222,,0,2020-12-09 19:06:32Z,,13.97596154,80,196.0625,AMD201224C00080000,2020-12-01 15:44:14Z,12.325,premium,,34208.62194,call,2011,10.1,,Electronic Technology,Electronic Technology - Semiconductors - Manufacturing - Semiconductor and Related Device Manufacturing,47.45417515,,18.1,0,2020-12-02 15:01:44Z,,ee8856db-60b4-437c-9c17-a131a3dbbade,17.37309303,Semiconductor and Related Device Manufacturing,12.55,,0,2020-12-09 20:48:31Z,-12.43432574,13.85712048,Advanced Micro Devices Inc.,2020-12-16 21:06:42Z
10.22145948,9.219715283,-2.521008403,,0.3464,,479.6638889,0.0007,0,0.4308,-0.0504,2020-12-21 14:45:14Z,2020-12-21 14:45:14Z,439,366.09,,142800,-28.492,-0.0163,,479.6638889,8,86.56195462,FALSE,479.6638889,2020-12-01 15:05:24Z,3.45,2022-03-18,42354.71917,6.589635854,0,,0.17452007,SPY,-2.521008403,,13.43804538,,0.171111111,16.40488656,6.194785607,241.6608333,726.0597222,2020-12-21 14:45:14Z,0.17452007,,479.6638889,3.883123909,205,,SPY220318P00205000,2020-12-01 15:15:40Z,3.57,premium,??????????,479.6638889,put,400,3.48,,,Miscellaneous - Investment Trusts/Mutual Funds,63.58543417,,5.84,479.6638889,2020-12-11 16:45:03Z,,0ad600ef-a800-47df-b346-b7ba37f2c2b3,4.864253394,-,3.69,,0,2020-12-31 21:08:59Z,-44.00284083,8.77097785,SPDR S&P 500 ETF Trust,2020-12-21 14:45:14Z
-76.21212121,-76.21212121,-97.27272727,0.608055556,1.5288,,,0.0665,0,0.0129,0.3309,,,-30,37.63,2020-12-01 16:28:16Z,205810,0.102,-0.3013,0.608055556,0.131111111,360,0,FALSE,,2020-12-01 15:07:57Z,1.08,2020-12-04,2214.771111,-76.21212121,0,2020-12-01 15:44:26Z,0,LI,-98.18181818,2020-12-01 15:44:26Z,100,1.338611111,0.131111111,0,-76.21212121,,53.285,,0,2020-12-01 15:44:26Z,,0.261666667,40.5,0.608055556,LI201204C00040500,2020-12-01 15:15:49Z,1.1004,premium,??,0,call,1871,0.02,2020-12-01 15:44:26Z,Producer Manufacturing,Producer Manufacturing - Auto Parts: OEM - Manufacturing - Automobile Manufacturing,-7.272727273,,1.02,0,,,cd85d6d9-2923-4f7e-825d-303d08993b8a,-66.46853147,Automobile Manufacturing,1.12,0.608055556,0,2020-12-03 20:25:03Z,7.626893436,-76.21212121,Li Auto Inc - ADR,2020-12-01 15:15:49Z
41.65762267,56.24791179,-90.24390244,482.0611111,0.5412,2020-12-11 15:16:06Z,47.60916667,0.3189,6196.123611,0.0073,0.3144,2020-12-03 14:46:05Z,2020-12-04 14:45:49Z,5,6.35,2020-12-22 16:16:10Z,21545.5,0.1876,-0.0051,2.276666667,311.8558333,133,55.4973822,TRUE,71.60472222,2020-12-01 15:09:32Z,0.19,2021-01-08,123645.9711,37.95731707,5.410122164,2020-12-21 17:13:12Z,44.15357766,ET,-90.24390244,2020-12-01 17:26:08Z,44.5026178,505.1105556,0.105555556,50.43630017,20.77861163,47.60916667,720.5941667,2020-12-04 15:16:52Z,30.71553229,2020-12-01 15:59:09Z,72.12222222,0.229057592,7,0.826944444,ET210108C00007000,2020-12-01 15:15:52Z,0.2064,free,?????,61732.23472,call,1051,0.02,2020-12-01 17:11:34Z,Industrial Services,Industrial Services - Oil & Gas Pipelines - Transportation and Warehousing - Pipeline Transportation of Natural Gas,168.2926829,76.05916667,0.55,40369.39667,2020-12-03 14:46:05Z,2020-12-04 19:13:05Z,db29d079-f650-4bff-8c8b-51a31f4b28de,-6.378986867,Pipeline Transportation of Natural Gas,0.22,2.033888889,4.188481675,2020-12-31 15:45:11Z,10.23622047,11.73541055,Energy Transfer LP - Unit,2020-12-14 15:00:53Z
-48.82189882,-48.82189882,-92.79279279,4.926944444,2.8002,2020-12-01 16:14:48Z,0.829166667,0.1887,12.67805556,0.0029,0.4237,2020-12-01 16:00:16Z,2020-12-01 16:14:48Z,-30,7.83,2020-12-01 21:09:10Z,143911.5,0.0247,-0.1224,4.926944444,2.278333333,10,12.5,TRUE,1.071388889,2020-12-01 15:10:31Z,0.55,2020-12-04,4059.385833,-48.82189882,12.5,2020-12-01 20:06:08Z,11.53846154,BB,-96.3963964,2020-12-01 20:06:08Z,87.5,5.9775,0.108333333,12.5,-48.82189882,0.829166667,72.10361111,2020-12-01 16:14:48Z,10.57692308,2020-12-01 15:31:47Z,1.071388889,0.284038462,8.5,0.354444444,BB201204C00008500,2020-12-01 15:17:01Z,0.555,premium,??,25.84888889,call,2593,0.02,2020-12-01 19:51:52Z,Technology Services,Technology Services - Packaged Software - Manufacturing - Computer Storage Device Manufacturing,168.4684685,1.31,1.49,25.01972222,2020-12-01 16:00:16Z,2020-12-01 16:29:07Z,a64b2c05-422d-446e-a11d-19b03569d60d,-8.720040796,Computer Storage Device Manufacturing,0.56,4.689166667,5.769230769,2020-12-04 15:16:44Z,8.556832695,-48.82189882,BlackBerry Ltd,2020-12-01 17:27:13Z
-17.33587227,-23.17077066,-98.12206573,215.7330556,0.3475,2020-12-28 15:00:28Z,503.7316667,0.0207,24137.91528,0.0892,0.1705,2020-12-22 15:01:15Z,2020-12-22 15:01:15Z,-3,122.11,2020-12-11 16:15:03Z,1143597,1.6383,-0.0512,72.48611111,671.4691667,2105,26.65505226,TRUE,503.7316667,2020-12-01 15:17:21Z,1.06,2020-12-31,127637.3081,-12.52442189,9.233449477,2020-12-10 15:01:20Z,14.45993031,AAPL,-98.12206573,2020-12-04 15:46:31Z,73.34494774,240.9616667,0.217222222,18.46689895,-11.6468039,503.4777778,723.8586111,2020-12-22 15:01:15Z,12.71777003,2020-12-01 15:44:12Z,503.7316667,0.991114983,135,0.4475,AAPL201231C00135000,2020-12-01 15:30:23Z,1.065,premium,??,50749.63972,call,10738,0.02,2020-12-02 15:01:41Z,Electronic Technology,Electronic Technology - Telecommunications Equipment - Manufacturing - Electronic Computer Manufacturing,219.2488263,503.7316667,3.4,45214.54194,2020-12-22 14:46:01Z,2020-12-22 15:01:15Z,229df432-8edc-461d-b2cc-8d2d9eea00a4,-1.231287094,Electronic Computer Manufacturing,1.07,23.73888889,6.620209059,2020-12-31 19:08:52Z,10.55605602,-6.937560321,Apple Inc,2020-12-29 14:45:30Z
-20.5,-20.5,-20,48.24333333,2.4991,2020-12-02 15:01:43Z,,0.0981,0,0.0064,0.4627,,,-30,17.09,2020-12-03 15:46:21Z,127250,0.0598,-0.2459,3.851944444,23.98805556,216,2.884615385,TRUE,,2020-12-01 15:17:25Z,1.2,2020-12-04,4057.368056,-20.5,68.26923077,2020-12-03 15:32:01Z,0,NKLA,-52,2020-12-01 19:08:32Z,97.11538462,48.48222222,0.446666667,1.923076923,-20.5,23.98805556,48.48222222,,0,2020-12-01 16:13:27Z,,0.99375,18,0.933888889,NKLA201204C00018000,2020-12-01 15:44:13Z,1.25,free,??,0,call,1018,0.6,2020-12-01 16:42:25Z,Consumer Durables,Finance - Financial Conglomerates - Consumer Durables - Motor Vehicles - Manufacturing - Heavy Duty Truck Manufacturing,28,,1.6,0,2020-12-02 15:16:42Z,,1920eb41-4255-4279-bbfc-be88e5c87fe5,-16.52830189,Heavy Duty Truck Manufacturing,1.3,1.416666667,0,2020-12-03 15:46:21Z,5.324751317,-20.5,Nikola Corporation,2020-12-02 15:16:42Z
-44.54830478,-24.21590613,-98.76923077,168.4069444,0.9405,2020-12-02 14:46:05Z,23.43611111,0.052,0,0.0258,-0.3155,2020-12-02 14:46:05Z,2020-12-02 14:46:05Z,-3,25.21,2020-12-08 16:27:02Z,511387.5,-0.7955,-0.0401,168.1608333,23.43611111,90,18.33648393,TRUE,23.43611111,2020-12-01 15:19:55Z,1.56,2020-12-31,166382.6014,1.823361823,0.189035917,2020-12-08 15:44:20Z,1.512287335,PLUG,-98.76923077,2020-12-08 15:29:34Z,81.66351607,169.1186111,51.37111111,15.12287335,19.74798535,0.652777778,695.9347222,2020-12-02 14:46:05Z,0.189035917,2020-12-07 14:45:51Z,23.43611111,0.732457467,23,143.4322222,PLUG201231P00023000,2020-12-03 18:42:11Z,1.6248,premium,??,259.4616667,put,3147,0.02,2020-12-08 15:00:31Z,Electronic Technology,Electronic Technology - Electronic Components - Manufacturing - Other Commercial and Service Industry Machinery Manufacturing,63.07692308,,2.65,23.43611111,2020-12-01 15:59:05Z,,f58f0ad3-6451-4424-bfd7-602b3b43d7f5,26.03988604,Other Commercial and Service Industry Machinery Manufacturing,1.69,167.6766667,0,2020-12-30 15:16:00Z,-8.766362555,-54.92569434,Plug Power Inc,2020-12-02 14:46:05Z
-50.04859086,-50.04859086,-80.95238095,24.65222222,0.6665,,,0.2226,0,0.0042,-0.1654,,,-23,10,2020-12-02 16:59:31Z,90573,-0.0494,-0.0137,23.9075,23.39416667,1520,0,FALSE,,2020-12-01 15:22:29Z,0.1,2020-12-11,3859.453889,-50.04859086,0,2020-12-02 16:01:37Z,0,PBR,-80.95238095,2020-12-02 15:16:56Z,100,25.61722222,0.365833333,0,-49.72999509,,53.04472222,,0,2020-12-01 15:59:09Z,,0.05244898,9,0.611111111,PBR201211P00009000,2020-12-01 15:44:26Z,0.1033,premium,??????,0,put,8626,0.02,2020-12-01 19:07:19Z,Energy Minerals,Energy Minerals - Integrated Oil,4.761904762,,0.11,0,,,1dbd5829-a5f0-4628-b621-051410218e1b,-30.76923077,,0.11,3.747222222,0,2020-12-03 20:25:10Z,-10,-50.04859086,Petroleo Brasileiro S.A. Petrobras - ADR,2020-12-02 14:46:08Z
