avg_seven_day_return,bid,avg_three_day_return,buy_amount,option_type,days_to_expiry,company_name,time_spent_below_zero_in_hours,time_to_first_minus_fifty,industry_type,tier,tags,alert_time,time_to_first_minus_fifty_timestamp,time_to_first_minus_fourty,ticker_symbol,time_to_first_plus_twenty,high_return,time_spent_above_fifty_in_hours,expires_at,time_to_first_plus_twenty_timestamp,time_to_first_minus_ten,amount_of_time_below_zero_percent,avg_one_day_return,strike_price,delta,time_to_first_minus_twenty,itm_time,amount_of_time_above_itm_percent,implied_volatility,time_to_first_plus_fourty,time_to_first_minus_twenty_timestamp,time_to_first_plus_thirty,rho,avg_return,current_return,gamma,high_date_time,time_to_first_minus_fourty_timestamp,low_date_time,time_to_first_plus_fourty_timestamp,time_to_first_plus_hundred_timestamp,amount_of_time_above_ten_percent,amount_of_time_above_hundred_percent,time_to_first_plus_hundred,time_to_first_minus_ten_timestamp,time_to_first_minus_thirty_timestamp,ever_itm,high_diff_time,avg_twentyone_day_return,theo,time_to_first_plus_ten,amount_of_time_above_fifty_percent,theta,time_to_first_plus_fifty,time_spent_above_thirty_in_hours,vega,low_diff_time,avg_fourteen_day_return,time_to_first_minus_thirty,underlying_purchase_price,amount_of_time_above_zero_percent,time_spent_above_hundred_in_hours,low,volume,avg_ask,high,time_to_first_plus_thirty_timestamp,option_symbol,ask,amount_of_time_above_thirty_percent,id,sector,emojis,low_return,time_to_first_plus_fifty_timestamp,open_interest,time_to_first_plus_ten_timestamp,diff
16.67541557,0.2,14.49419569,18022.5,put,202,Northern Dynasty Minerals Ltd.,10940.39583,,Copper  Nickel  Lead  and Zinc Mining,free,-,2021-01-13 17:12:41Z,,,NAK,26.685,55.55555556,0,2021-08-20,2021-01-14 19:53:47Z,,33.44827586,15.03267974,0.5,-0.2057,,2021-01-19 15:50:25Z,23.10344828,1.7358,141.56,,141.56,-0.2107,25.57854406,55.55555556,0.3451,2021-01-13 21:10:31Z,,2021-01-29 21:01:25Z,2021-01-19 14:46:17Z,,38.62068966,0,,,,TRUE,387.8122222,25.57854406,0.2253,0.1075,0,-0.0005,,21703.78194,0.0013,3.963888889,21.34038801,,0.6126,66.55172414,0,0.23,801,0.282551724,0.35,2021-01-19 14:46:17Z,NAK210820P00000500,0.25,21.03448276,263ef841-94e6-41a8-85ea-923b684e51ad,Non-Energy Minerals,,,?????,2.222222222,2021-01-13 17:19:08Z,14
-72.4815282,0.89,-68.74700718,87978.5,call,-22,NIO Inc - ADR,6119.871389,23.97305556,Automobile Manufacturing,free,-,2021-01-04 15:03:22Z,2021-01-05 15:01:45Z,2.922777778,NIO,,-19.55307263,0,2021-01-08,,0.2225,100,-51.95530726,62,0.1989,0.2225,,0,1.4962,,2021-01-04 15:16:43Z,,0.1141,-72.4815282,-96.64804469,0.0323,2021-01-08 18:38:16Z,2021-01-04 17:58:44Z,2021-01-04 16:01:53Z,,,0,0,,2021-01-04 15:16:43Z,2021-01-04 15:31:37Z,FALSE,0.975277778,-72.4815282,0.89,0.2225,0,-0.281,,0,0.0161,99.58166667,-72.4815282,0.470833333,53.34,0,0,0.03,983,0.246290323,0.72,,NIO210108C00062000,0.9,0,e6d6a457-2feb-495f-8225-40ecc7e6add0,Consumer Durables,?????????,-96.64804469,,324,2021-01-04 15:16:43Z,16.23547057
-35.02801411,2.11,-16.27855596,862753.5,put,-8,BlackRock Institutional Trust Company N.A. - BTC iShares Russell 2000,43575.70833,48.47138889,,premium,-,2021-01-04 15:03:26Z,2021-01-06 15:31:43Z,48.22194444,IWM,0.720833333,97.65807963,93.02444444,2021-01-22,2021-01-04 15:46:41Z,47.705,84.21052632,33.80171741,187,-0.235,47.705,,0,0.3417,1.214166667,2021-01-06 14:45:44Z,0.9775,-2.4271,-59.62200583,-98.1264637,0.0204,2021-01-19 18:22:53Z,2021-01-06 15:16:45Z,2021-01-04 17:58:48Z,2021-01-04 16:16:17Z,,13.33333333,0,,2021-01-06 14:45:44Z,2021-01-06 15:01:08Z,FALSE,2.922777778,-59.62200583,2.1534,0.224722222,7.01754386,-0.1269,1.214166667,199.905,0.1355,363.3241667,-56.29189982,47.96166667,196.94,15.78947368,0,0.04,4041,0.862070175,4.22,2021-01-04 16:02:05Z,IWM210122P00187000,2.16,9.473684211,fa38a5eb-ff6b-4edf-bd75-0ad8e5de7558,,????,-98.1264637,2021-01-04 16:16:17Z,304,2021-01-04 15:16:55Z,-5.047222504
35.0994858,3.2,56.82965719,1135645,call,-22,QuantumScape Corp - Class A,2753.131389,5.585,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,premium,-,2021-01-04 15:06:00Z,2021-01-04 20:41:06Z,5.329722222,QS,27.85888889,308.4507042,2402.963056,2021-01-08,2021-01-05 18:57:32Z,1.173055556,50.79365079,-8.71152843,60,0.375,1.418611111,2021-01-06 14:45:29Z,44.44444444,2.9894,47.65805556,2021-01-04 16:31:07Z,47.65805556,0.1867,35.0994858,-97.18309859,0.0221,2021-01-08 20:26:27Z,2021-01-04 20:25:47Z,2021-01-06 17:58:56Z,2021-01-06 14:45:29Z,2021-01-06 16:30:32Z,45.23809524,20.63492063,49.40888889,2021-01-04 16:16:23Z,2021-01-04 19:12:17Z,TRUE,50.88222222,35.0994858,3.7516,0.184166667,31.74603175,-0.6732,47.65805556,3052.644167,0.0213,101.3408333,35.0994858,4.104722222,52.74,49.20634921,1488.180278,0.1,3199,4.796031746,14.5,2021-01-06 14:45:29Z,QS210108C00060000,3.9,38.88888889,3a8a9814-f57a-4d38-b2b1-88e1a170b35f,,?????????,-97.18309859,2021-01-06 14:45:29Z,19,2021-01-04 15:17:03Z,13.76564278
-28.80987838,0.98,-18.59045505,173400,put,-1,Uber Technologies Inc,136527.9581,71.89305556,Software and Other Prerecorded Compact Disc  Tape  and Record Reproducing,premium,-,2021-01-04 15:08:34Z,2021-01-07 15:02:09Z,48.88472222,UBER,1.131111111,64.70588235,2.355,2021-01-29,2021-01-04 16:16:26Z,25.11722222,92.07708779,9.767610748,47.5,-0.2485,26.09944444,,0,0.4784,2.355,2021-01-05 17:14:32Z,1.131111111,-0.954,-65.68207583,-96.07843137,0.049,2021-01-21 17:56:51Z,2021-01-06 16:01:39Z,2021-01-04 17:29:52Z,2021-01-04 17:29:52Z,,6.209850107,0,,2021-01-05 16:15:36Z,2021-01-05 19:56:58Z,FALSE,2.355,-62.68773467,1.02,0.142222222,0.214132762,-0.0405,2.355,93.57055556,0.0428,410.8047222,-48.52156863,28.80666667,51.33,7.922912206,0,0.04,1700,0.350042827,1.68,2021-01-04 16:16:26Z,UBER210129P00047500,1.06,2.569593148,49b5524a-92a2-40c3-b12a-61f98b503a23,Technology Services,,-96.07843137,2021-01-04 17:29:52Z,48,2021-01-04 15:17:06Z,-7.461523476
72.09448819,0.12,87.16981132,52950,call,-22,ViacomCBS Inc - Class B,2526.405,24.10722222,Television Broadcasting,free,-,2021-01-04 15:10:26Z,2021-01-05 15:16:52Z,4.752222222,VIAC,49.60111111,588,2918.095278,2021-01-08,2021-01-06 16:46:30Z,0.116388889,55.11811024,-39.85185185,40,0.1164,0.116388889,2021-01-06 18:28:54Z,24.40944882,0.5588,49.60111111,2021-01-04 15:17:25Z,49.60111111,0.0492,72.09448819,-12,0.0871,2021-01-05 17:14:47Z,2021-01-04 19:55:34Z,2021-01-06 18:43:38Z,2021-01-06 16:46:30Z,2021-01-06 17:59:26Z,41.73228346,31.49606299,50.81666667,2021-01-04 15:17:25Z,2021-01-04 16:31:30Z,TRUE,51.55333333,72.09448819,0.1246,0.116388889,33.85826772,-0.0514,49.60111111,3410.299722,0.0079,26.0725,72.09448819,1.351111111,37.18,44.88188976,2719.978611,0.03,4236,0.21511811,0.86,2021-01-06 16:46:30Z,VIAC210108C00040000,0.13,38.58267717,95393451-5125-41c1-96c2-a3e22c659d58,Consumer Services,???????,-76,2021-01-06 16:46:30Z,687,2021-01-04 15:17:25Z,7.584722969
-17.43951613,0.61,5.183293269,71488,put,-1,Micron Technology Inc.,43607.635,95.58027778,Semiconductor and Related Device Manufacturing,premium,-,2021-01-04 15:11:09Z,2021-01-08 14:45:58Z,72.86666667,MU,2.065833333,92.1875,78.44361111,2021-01-29,2021-01-04 17:15:06Z,0.096388889,83.77358491,25.70754717,65,-0.1109,52.28416667,,0,0.5574,2.308055556,2021-01-06 19:28:12Z,2.308055556,-0.6362,-45.10023585,-95.3125,0.0168,2021-01-19 15:19:08Z,2021-01-07 16:03:09Z,2021-01-05 14:45:19Z,2021-01-04 17:29:38Z,,10.18867925,0,,2021-01-04 15:16:56Z,2021-01-07 15:32:51Z,FALSE,23.56944444,-41.39668367,0.6459,0.096388889,4.905660377,-0.0425,2.796666667,137.7022222,0.0383,360.1330556,-39.60970464,72.36166667,76.95,16.22641509,0,0.03,1117,0.351358491,1.23,2021-01-04 17:29:38Z,MU210129P00065000,0.67,6.79245283,dfc6b662-a90a-4a69-bf23-acff8dfe1016,Electronic Technology,????,-95.3125,2021-01-04 17:58:57Z,84,2021-01-04 15:16:56Z,-15.52956465
-13.94862972,4.8,-13.37788425,573195,put,202,Canoo Inc - Class A,21639.89778,,,premium,-,2021-01-04 15:13:43Z,,191.5352778,GOEV,,14.5631068,0,2021-08-20,,47.5475,98.06451613,4.063286588,12.5,-0.2866,47.5475,2021-01-04 16:17:14Z,12.90322581,1.3566,,2021-01-06 14:46:34Z,,-5.5341,-27.06545568,-39.80582524,0.024,2021-01-14 15:50:42Z,2021-01-12 14:45:50Z,2021-01-04 17:16:01Z,,,0,0,,2021-01-06 14:46:34Z,2021-01-06 18:58:53Z,TRUE,2.038333333,-27.06545568,5.15,0.07,0,-0.0108,,0,0.0339,240.6163889,-27.06545568,51.75277778,12.91,1.935483871,0,2.95,1113,3.756129032,5.9,,GOEV210820P00012500,5.5,0,999dad34-da77-492b-9e0f-fb63df7cc63a,,???,-42.7184466,,204,2021-01-04 15:17:55Z,-3.175832688
-33.28972615,3.6,-12.59288331,288487.5,put,-8,NIO Inc - ADR,64925.53694,95.45666667,Automobile Manufacturing,premium,-,2021-01-04 15:18:18Z,2021-01-08 14:45:42Z,95.45666667,NIO,52.66666667,34.69387755,0,2021-01-22,2021-01-06 19:58:18Z,1.453333333,94.02985075,-2.07675523,50,-0.3608,47.70916667,,0,1.0938,,2021-01-06 15:00:51Z,52.66666667,-1.1401,-65.18306427,-99.45578231,0.0289,2021-01-22 15:02:36Z,2021-01-08 14:45:42Z,2021-01-06 19:58:18Z,,,2.985074627,0,,2021-01-04 16:45:30Z,2021-01-06 16:45:55Z,FALSE,52.66666667,-65.18306427,3.675,0.221944444,0,-0.1327,,52.66666667,0.0443,431.7383333,-55.76016453,49.46027778,52.95,5.970149254,0,0.02,785,1.279522388,4.95,2021-01-06 19:58:18Z,NIO210122P00050000,3.75,0.298507463,b80f593c-05c6-4dae-9285-b93840eccad8,Consumer Durables,??????,-99.45578231,,241,2021-01-04 15:31:37Z,-5.571293673
-16.19249823,0.44,2.557651992,14670,put,-3,SSgA Active Trust - SSGA SPDR S&P 500,77231.42222,95.45638889,,free,-,2021-01-04 15:18:30Z,2021-01-08 14:45:53Z,71.72194444,SPY,0.959722222,95.55555556,82.39444444,2021-01-27,2021-01-04 16:16:05Z,47.70666667,84.93150685,35.22633745,310,-0.0296,48.21666667,,0,0.4018,1.450555556,2021-01-06 15:31:30Z,1.205277778,-0.7341,-53.70471842,-95.55555556,0.0018,2021-01-21 14:45:13Z,2021-01-07 15:01:49Z,2021-01-04 17:29:33Z,2021-01-04 16:45:32Z,,11.78082192,0,,2021-01-06 15:00:54Z,2021-01-06 15:46:27Z,FALSE,2.184166667,-53.70471842,0.45,0.219166667,3.287671233,-0.0548,1.939444444,242.4744444,0.0635,407.4452778,-38.02564103,48.46583333,373.45,15.06849315,0,0.02,326,0.208328767,0.88,2021-01-04 16:30:49Z,SPY210127P00310000,0.46,7.397260274,fe097eb4-199f-43ba-81f9-e6d370a6783a,,??,-95.55555556,2021-01-04 17:14:52Z,74,2021-01-04 15:31:39Z,-16.99022627
