time_to_first_minus_thirty,company_name,time_to_first_plus_twenty,strike_price,low_return,ever_itm,time_to_first_plus_thirty_timestamp,avg_return,underlying_purchase_price,theo,delta,time_to_first_plus_hundred,time_spent_below_zero_in_hours,avg_ask,time_to_first_plus_ten,time_to_first_plus_fifty,industry_type,time_to_first_minus_ten,gamma,itm_time,low,expires_at,tier,implied_volatility,time_spent_above_fifty_in_hours,vega,time_to_first_minus_thirty_timestamp,time_to_first_minus_fifty,time_to_first_minus_ten_timestamp,amount_of_time_above_hundred_percent,bid,time_to_first_plus_hundred_timestamp,high_date_time,emojis,time_to_first_minus_fifty_timestamp,avg_seven_day_return,amount_of_time_above_zero_percent,days_to_expiry,time_to_first_minus_twenty,high_diff_time,time_to_first_plus_ten_timestamp,ticker_symbol,amount_of_time_above_thirty_percent,amount_of_time_above_itm_percent,time_to_first_plus_twenty_timestamp,time_spent_above_hundred_in_hours,avg_one_day_return,time_to_first_plus_fourty_timestamp,sector,current_return,alert_time,diff,amount_of_time_below_zero_percent,avg_fourteen_day_return,time_to_first_minus_fourty,buy_amount,theta,time_to_first_plus_fourty,avg_three_day_return,id,amount_of_time_above_ten_percent,option_symbol,time_to_first_minus_twenty_timestamp,ask,tags,time_to_first_plus_thirty,time_to_first_minus_fourty_timestamp,volume,option_type,high_return,low_date_time,avg_twentyone_day_return,low_diff_time,open_interest,high,time_spent_above_thirty_in_hours,time_to_first_plus_fifty_timestamp,rho,amount_of_time_above_fifty_percent
5.98,Smith & Wesson Brands Inc,,45,-64.89361702,FALSE,,-45.42711972,38.15,4.7,0.452,,3627.751944,2.564925373,0.285,,Small Arms  Ordnance  and Ordnance Accessories Manufacturing,0.285,0.0223,,1.65,2022-01-21,premium,0.6212,0,0.1131,2021-07-01 20:06:33Z,24.21833333,2021-07-01 14:24:51Z,0,4.4,,2021-07-01 14:24:51Z,???,2021-07-02 14:20:51Z,-45.42711972,0,134,1.195277778,0.285,2021-07-01 14:24:51Z,SWBI,0,0,,0,-36.41761504,,Electronic Technology,-59.57446809,2021-07-01 14:07:45Z,17.95543906,100,-45.42711972,23.93416667,176720,-0.0172,,-36.41761504,df663cd3-281c-4223-828e-ab30838368ee,0,SWBI220121C00045000,2021-07-01 15:19:28Z,5,-,,2021-07-02 14:03:48Z,376,call,-8.510638298,2021-07-06 15:26:42Z,-45.42711972,121.3158333,13,4.3,0,,7.0303,0
23.93361111,Pinterest Inc - Class A,1.487222222,74,-93.10344828,FALSE,2021-07-08 14:01:31Z,-20.18567639,79.11,0.29,-0.1229,167.89,11780.06917,0.231461538,0.278333333,167.89,,0.278333333,0.0437,,0.02,2021-07-09,free,0.3905,2033.349167,0.0242,2021-07-02 14:04:08Z,119.6341667,2021-07-01 14:24:49Z,6.923076923,0.28,2021-07-08 14:01:31Z,2021-07-08 14:01:31Z,??????????,2021-07-06 13:46:10Z,-13.28775268,15.38461538,-62,23.63111111,167.89,2021-07-01 14:24:49Z,PINS,10,0,2021-07-01 15:37:21Z,1525.716667,-15.87810746,2021-07-08 14:01:31Z,Technology Services,-93.10344828,2021-07-01 14:08:07Z,-6.459360384,84.61538462,-20.18567639,119.6341667,27898,-0.0571,167.89,-15.87810746,38ecb6ea-9176-481e-b921-235860938f16,13.84615385,PINS210709P00074000,2021-07-02 13:45:59Z,0.3,-,167.89,2021-07-06 13:46:10Z,962,put,158.6206897,2021-07-09 18:17:15Z,-20.18567639,196.1522222,276,0.75,2225.269167,2021-07-08 14:01:31Z,-0.227,9.230769231
191.8902778,BlackRock Institutional Trust Company N.A. - BTC iShares MSCI EMU ETF,,52,-20,FALSE,,-4.571428571,49.43,0.125,0.1209,,11932.10778,0.119285714,0.240277778,,,1.449166667,0.0941,,0.1,2021-08-20,premium,0.1164,0,0.0369,2021-07-09 14:04:03Z,191.8902778,2021-07-01 15:37:35Z,0,0.05,,2021-07-01 15:19:41Z,??????????,2021-07-09 14:04:03Z,25.71428571,0,-20,1.449166667,1.150833333,2021-07-01 14:25:03Z,EZU,0,0,,0,28,,Miscellaneous,-20,2021-07-01 14:10:38Z,5.199271697,100,-4.571428571,191.8902778,93787.5,-0.0042,,28,d9d1e78e-d01e-4318-9d29-a164ae127ecc,0,EZU210820C00052000,2021-07-01 15:37:35Z,0.2,-,,2021-07-09 14:04:03Z,7503,call,60,2021-07-09 14:04:03Z,-4.571428571,191.8902778,211,0.2,0,,0.8061,0
,TAL Education Group - ADR,30.025,27.5,-0.613496933,TRUE,2021-07-08 13:46:59Z,127.2403261,24.58,7.9,-0.4482,527.5438889,15.05388889,18.52008658,0.205277778,167.5577778,Professional and Management Development Training,,0.0259,2021-07-01 14:25:50Z,8.1,2022-02-18,premium,0.7782,883497.1758,0.0776,,,,69.17748918,7.8,2021-07-23 13:46:09Z,2021-08-19 13:46:47Z,???????,,24.76863887,99.22077922,162,,1175.554444,2021-07-01 14:25:50Z,TAL,71.16883117,100,2021-07-02 20:15:01Z,883329.6181,13.73947781,2021-07-08 13:46:59Z,Consumer Services,173.6196319,2021-07-01 14:13:31Z,11.87957689,0.779220779,20.96326655,,378975,-0.013,167.5577778,13.73947781,b11e4037-1fd9-45e3-8394-e5603e18e810,93.33333333,TAL220218P00027500,,8.5,-,167.5577778,,465,put,196.9325153,2021-07-01 14:44:32Z,23.54251637,0.516944444,1,24.2,890438.6436,2021-07-08 13:46:59Z,-12.0398,69.26406926
,Conoco Phillips,23.50222222,66,-26.66666667,TRUE,,-4.192787327,62.65,3.4001,-0.9274,,421.2077778,3.305348837,0.174444444,,Petroleum Refineries,0.174444444,0.0628,2021-07-01 14:25:59Z,2.53,2021-07-02,free,0.5937,0,0.0051,,,2021-07-01 14:25:59Z,0,3.4,,2021-07-02 13:45:39Z,??????,,-4.192787327,23.25581395,-69,2.855555556,23.50222222,2021-07-01 14:25:59Z,COP,0,100,2021-07-02 13:45:39Z,0,-4.192787327,,Energy,20.28985507,2021-07-01 14:15:31Z,5.3471668,76.74418605,-4.192787327,,155595,-0.1189,,-4.192787327,74ebbf7b-c839-4d8a-89c2-f54d9f3ec1a8,13.95348837,COP210702P00066000,2021-07-01 17:06:51Z,3.5,-,,,451,put,24.63768116,2021-07-01 17:24:21Z,-4.192787327,3.147222222,2,4.3,0,,-0.2153,0
24.07027778,American Airlines Group Inc,,26.5,-63.63636364,FALSE,,-41.84823441,21.54,0.0566,0.0528,,13166.48972,0.031983471,0.151666667,,Scheduled Passenger Air Transportation,1.655833333,0.0405,,0.02,2021-07-16,premium,0.6037,0,0.0047,2021-07-02 14:20:36Z,119.7588889,2021-07-01 15:55:44Z,0,0.05,,2021-07-02 13:45:23Z,?????,2021-07-06 14:01:55Z,-36.92022263,0,-55,24.07027778,23.48333333,2021-07-01 14:25:29Z,AAL,0,0,,0,-15.43340381,,Industrials,-63.63636364,2021-07-01 14:16:23Z,23.02692665,100,-41.84823441,119.7588889,28517.5,-0.0094,,-15.43340381,af7cfde1-1c76-4195-86c1-943bc173e8cc,0,AAL210716C00026500,2021-07-02 14:20:36Z,0.06,-,,2021-07-06 14:01:55Z,5185,call,9.090909091,2021-07-06 14:18:49Z,-41.84823441,120.0405556,341,0.06,0,,0.0453,0
,Smith & Wesson Brands Inc,23.30083333,40,2.608695652,TRUE,2021-07-02 14:03:48Z,58.15546772,37.13,5.65,-0.5618,,0.834444444,9.093939394,0.2675,23.88916667,Small Arms  Ordnance  and Ordnance Accessories Manufacturing,,0.0404,2021-07-01 14:43:33Z,5.9,2021-08-20,free,0.7087,3502.853611,0.0543,,,,0,5.5,,2021-07-06 15:10:11Z,???,,58.15546772,96.96969697,-20,,120.7113889,2021-07-01 14:43:33Z,SWBI,69.6969697,100,2021-07-02 13:45:33Z,0,40.82815735,2021-07-02 14:03:48Z,Electronic Technology,82.60869565,2021-07-01 14:27:30Z,7.729598707,3.03030303,58.15546772,,198375,-0.0382,23.605,40.82815735,381a0d27-bfe3-41f6-9e96-ad9bafa4ab99,74.24242424,SWBI210820P00040000,,6,-,23.605,,345,put,96.52173913,2021-07-01 14:43:33Z,58.15546772,0.2675,33,11.3,3526.458611,2021-07-02 14:20:51Z,-3.6473,68.18181818
1.157222222,DoorDash Inc - Class A,,192.5,-30.54187192,FALSE,,-17.70806326,180.6,1.995,0.2341,,55.83583333,1.670526316,0.260277778,,Electronic Shopping,0.260277778,0.0202,,1.41,2021-07-09,premium,0.5592,0,0.0833,2021-07-01 15:37:34Z,,2021-07-01 14:43:45Z,0,1.93,,2021-07-01 15:01:42Z,?????,,-17.70806326,0,-62,1.157222222,0.559444444,2021-07-01 14:43:45Z,DASH,0,0,,0,-17.70806326,,Retail Trade,-13.30049261,2021-07-01 14:28:08Z,6.589147287,100,-17.70806326,,96222,-0.2818,,-17.70806326,c7c09f0c-07db-4956-a8b1-ad1348a12241,0,DASH210709C00192500,2021-07-01 15:37:34Z,2.13,-,,,474,call,-2.463054187,2021-07-01 15:55:18Z,-17.70806326,1.452777778,15,1.98,0,,0.9114,0
23.53888889,Micron Technology Inc.,,97.5,-96.61016949,FALSE,,-74.0972734,81.17,0.585,0.1112,,313793.7508,0.152826087,0.217777778,,Semiconductor and Related Device Manufacturing,1.114444444,0.0164,,0.02,2021-08-20,premium,0.3826,0,0.0571,2021-07-02 14:03:23Z,144.3297222,2021-07-01 15:37:55Z,0,0.58,,2021-07-01 16:30:54Z,????,2021-07-07 14:50:50Z,-36.48376903,0.155279503,-20,23.53888889,1.9975,2021-07-01 14:44:07Z,MU,0,0,,0,-17.87732042,,Technology,-96.61016949,2021-07-01 14:31:03Z,20.1182703,99.8447205,-52.80258809,23.82305556,619854,-0.0217,,-17.87732042,bb27cb80-2ee6-46e9-9234-ab6a4e37e2bb,0,MU210820C00097500,2021-07-02 14:03:23Z,0.6,-,,2021-07-02 14:20:26Z,10506,call,8.474576271,2021-08-13 19:18:18Z,-63.84812044,1036.7875,938,0.64,0,,1.1626,0
,Transocean Ltd,341.51,7,-0.699300699,TRUE,2021-07-15 20:04:35Z,16.97482273,4.99,3.575,-0.4089,,6154.086667,4.181849913,0.169722222,341.51,Drilling Oil and Gas Wells,,0.072,2021-07-01 14:44:10Z,3.55,2023-01-20,premium,0.8696,15963.97306,0.0241,,,,0,3.5,,2021-07-20 13:46:21Z,????????,,2.797202797,93.28097731,498,,455.2061111,2021-07-01 14:44:10Z,RIG,4.79930192,100,2021-07-15 20:04:35Z,0,1.698301698,2021-07-15 20:04:35Z,Industrial Services,10.48951049,2021-07-01 14:33:59Z,40.28056112,6.719022688,5.649537185,,958457.5,-0.0018,341.51,1.698301698,9f81ffb1-b103-4a22-b63d-90959701357b,72.07678883,RIG230120P00007000,,3.65,-,341.51,,2681,put,88.81118881,2021-07-02 14:20:26Z,10.30980193,23.77416667,104,6.75,51797.90139,2021-07-15 20:04:35Z,-8.7334,1.483420593
