time_to_first_minus_fifty,avg_fourteen_day_return,time_to_first_plus_hundred,amount_of_time_above_ten_percent,tier,time_spent_below_zero_in_hours,time_to_first_plus_fifty_timestamp,time_to_first_plus_fifty,amount_of_time_above_itm_percent,volume,current_return,high_diff_time,time_to_first_plus_twenty_timestamp,avg_ask,high_date_time,amount_of_time_above_fifty_percent,avg_one_day_return,time_to_first_plus_fourty_timestamp,time_to_first_plus_hundred_timestamp,open_interest,time_to_first_minus_twenty,gamma,avg_twentyone_day_return,company_name,bid,amount_of_time_below_zero_percent,time_to_first_minus_thirty,theta,time_to_first_plus_fourty,alert_time,time_to_first_minus_ten,low_return,rho,strike_price,implied_volatility,ask,time_to_first_plus_ten,time_to_first_minus_fourty_timestamp,time_spent_above_thirty_in_hours,time_to_first_plus_ten_timestamp,emojis,time_to_first_minus_ten_timestamp,vega,expires_at,amount_of_time_above_zero_percent,delta,diff,buy_amount,time_to_first_plus_thirty,itm_time,low_date_time,amount_of_time_above_hundred_percent,underlying_purchase_price,avg_seven_day_return,time_to_first_minus_twenty_timestamp,theo,low,avg_return,low_diff_time,time_spent_above_fifty_in_hours,option_type,high,ever_itm,option_symbol,avg_three_day_return,sector,id,amount_of_time_above_thirty_percent,tags,time_to_first_plus_twenty,time_to_first_minus_fifty_timestamp,time_to_first_minus_thirty_timestamp,high_return,time_to_first_minus_fourty,ticker_symbol,days_to_expiry,time_to_first_plus_thirty_timestamp,time_spent_above_hundred_in_hours,industry_type
,6.205619801,,15.83166333,free,78019.78194,,,97.19438878,1159,-25.78616352,242.4533333,,8.017034068,2021-02-25 18:14:13Z,0,1.942697414,,,228,552.4558333,0.0118,7.010236853,AMC Entertainment Holdings Inc - Class A,7.85,39.87975952,578.3519444,-0.0728,,2021-02-01 15:20:52Z,529.4822222,-30.81761006,-1.3876,14,4.4907,8.05,0.248333333,,0,2021-02-01 15:35:46Z,??????????????,2021-02-23 16:49:48Z,0.0146,2021-03-19,60.12024048,-0.2018,-5.277401894,921405,,2021-02-01 15:51:19Z,2021-02-11 17:48:04Z,0,14.78,2.064628063,2021-02-24 15:48:13Z,7.975,5.5,0.843195826,578.8891667,0,put,9.35,TRUE,AMC210319P00014000,0.26860587,Consumer Services,04f5680e-b456-4f77-85b1-4275b4c91936,0,-,,,2021-02-25 17:41:59Z,17.61006289,,AMC,17,,0,Motion Picture Theaters (except Drive-Ins)
22.3375,-83.30216594,,0,free,33016.63778,,,6.722689076,2451,-99.43661972,1.5775,,0.592773109,2021-02-12 18:48:08Z,0,-56.81567667,,,744,0.228055556,0.0478,-83.30216594,BlackBerry Ltd,3.4,100,22.06083333,-0.1174,,2021-02-01 16:41:49Z,0.228055556,-99.43661972,0.204,14,2.8098,3.7,0.228055556,2021-02-02 14:45:28Z,0,2021-02-01 16:55:30Z,??,2021-02-01 16:55:30Z,0.0098,2021-02-12,0,0.662,-9.090909091,870105,,2021-02-01 16:55:30Z,2021-02-01 18:16:28Z,0,15.4,-75.76500096,2021-02-01 16:55:30Z,3.5501,0.02,-83.30216594,266.1052778,0,call,3.05,TRUE,BB210212C00014000,-72.22883694,Technology Services,ca1215ff-f6eb-4899-af79-cf4a23e465bb,0,-,,2021-02-02 15:02:04Z,2021-02-02 14:45:28Z,-14.08450704,22.06083333,BB,-18,,0,Computer Storage Device Manufacturing
76.08277778,-50.30618893,,3.154574132,free,61735.77028,,,0,25037,-98.6970684,0.410277778,2021-02-01 15:52:34Z,0.617318612,2021-02-19 16:04:16Z,0,12.34319773,,,2403,23.30361111,0.0119,-59.78380378,Blink Charging Co,1.32,93.37539432,47.30611111,-0.1147,,2021-02-01 15:27:57Z,4.716666667,-98.6970684,-0.4175,35,1.6623,1.75,1.730833333,2021-02-04 15:20:05Z,0,2021-02-01 17:11:48Z,????,2021-02-01 20:10:57Z,0.0242,2021-02-19,6.624605678,-0.1376,-28.57142857,3843179.5,,,2021-02-01 15:52:34Z,0,49,-29.17386267,2021-02-02 14:46:10Z,1.535,0.02,-59.78380378,432.6052778,0,put,2.19,FALSE,BLNK210219P00035000,-9.02745463,Consumer Services,7a16b7d9-81a7-48e8-8796-dbff2b5dbc4c,0,-,0.410277778,2021-02-04 19:32:55Z,2021-02-03 14:46:19Z,42.67100977,71.86888889,BLNK,-11,,0,New Car Dealers
68.89472222,-39.34449093,,0,free,33904.12694,,,0,4075,-95.83333333,44.89333333,,0.727866109,2021-02-12 18:48:47Z,0,-5.634057971,,,706,1.224722222,0.0346,-39.34449093,DuPont de Nemours Inc,0.8,99.58158996,1.224722222,-0.077,,2021-02-01 17:52:26Z,0.141111111,-95.83333333,0.8116,80,0.5535,1.6,0.141111111,2021-02-01 19:37:30Z,0,2021-02-01 18:00:54Z,???????,2021-02-01 18:00:54Z,0.0505,2021-02-19,0.418410042,0.2405,9.920307777,489000,,,2021-02-03 14:46:02Z,0,72.78,-10.22522523,2021-02-01 19:05:55Z,1.2,0.05,-39.34449093,264.9391667,0,call,1.63,FALSE,DD210219C00080000,-1.443298969,Process Industries,7f0f3ab3-ce5d-46df-8385-29e599c7e859,0,-,,2021-02-04 14:46:07Z,2021-02-01 19:05:55Z,35.83333333,1.751111111,DD,-11,,0,Plastics Material and Resin Manufacturing
549.7072222,-1.020408163,,0,free,44946.40917,,,0,10000,-80.35714286,0.127777778,,1.088764045,2021-03-01 17:13:36Z,0,-1.020408163,,,33,549.4375,0.0278,-1.020408163,Discovery Inc - Series C,2.65,100,549.4375,-0.0155,,2021-02-01 17:20:16Z,2.296388889,-80.35714286,-4.8202,30,0.5904,2.95,0.127777778,2021-02-24 14:46:31Z,0,2021-02-01 17:27:56Z,???????,2021-02-01 19:38:03Z,0.0721,2021-06-18,0,-0.2932,-12.38317757,2800000,,,2021-02-01 17:27:56Z,0,34.24,-1.020408163,2021-02-24 14:46:31Z,2.8,0.55,-61.11556982,671.8888889,0,put,2.95,FALSE,DISCK210618P00030000,-1.020408163,Consumer Services,3fb30d21-e720-4f71-a7fb-2d1ea8877f83,0,-,,2021-02-24 15:02:42Z,2021-02-24 14:46:31Z,5.357142857,549.4375,DISCK,108,,0,Radio Networks
1.226388889,-53.51551104,,0,free,58018.10111,,,0,803,-85.05494505,21.97861111,,0.98958042,2021-02-09 19:36:51Z,0,-5.521978022,,,7,0.1275,0.0074,-55.64435564,Fedex Corp,0.35,100,0.1275,-0.1045,,2021-02-01 17:04:21Z,0.1275,-88.13186813,-3.1725,210,0.4247,4.2,0.1275,2021-02-01 17:28:27Z,0,2021-02-01 17:12:00Z,???????,2021-02-01 17:12:00Z,0.1586,2021-03-05,0,-0.1411,-11.96445041,182682.5,,,2021-02-02 15:03:04Z,0,238.54,-39.91871143,2021-02-01 17:12:00Z,2.295,0.27,-56.50195958,194.5416667,0,put,3.25,FALSE,FDX210305P00210000,-28.0540293,Transportation,fc967117-25e4-428c-ae48-602eace35be6,0,-,,2021-02-01 18:17:56Z,2021-02-01 17:12:00Z,42.85714286,0.401666667,FDX,3,,0,Couriers and Express Delivery Services
23.6975,-66.05234189,,0,free,141064.8903,,,0,270,-97.88359788,0.516388889,,0.149002494,2021-02-26 17:50:59Z,0,-41.61882247,,,2,1.068888889,0.0148,-78.9611424,SSgA Active Trust - SSgA SPDR Gold Shares,0.91,100,23.6975,-0.0397,,2021-02-01 15:04:12Z,0.265277778,-97.88359788,2.3961,192.5,0.253,0.98,0.265277778,2021-02-02 14:46:03Z,0,2021-02-01 15:20:07Z,???,2021-02-01 15:20:07Z,0.1231,2021-03-12,0,0.1327,10.01257287,25515,,,2021-02-01 15:35:11Z,0,174.98,-62.78229449,2021-02-01 16:08:20Z,0.935,0.02,-84.23254034,602.7797222,0,call,0.87,FALSE,GLD210312C00192500,-52.67087048,,37a8ba40-5be9-44c8-b2d8-3e032ac9d9b0,0,-,,2021-02-02 14:46:03Z,2021-02-02 14:46:03Z,-7.936507937,23.6975,GLD,10,,0,
71.87166667,-10.60606061,359.0383333,15.93625498,free,30058.64861,2021-02-12 17:48:55Z,266.0719444,20.3187251,635,-45.45454545,359.0383333,2021-02-12 15:32:33Z,0.252191235,2021-02-04 15:36:54Z,3.187250996,-6.382978723,2021-02-12 17:48:55Z,2021-02-16 14:46:54Z,1,3.080555556,0.2047,-8.294096342,ICICI Bank Ltd. - ADR,0.25,84.06374502,3.080555556,-0.0153,266.0719444,2021-02-01 15:44:36Z,1.188888889,-45.45454545,0.2251,18,0.4357,0.3,0.123333333,2021-02-04 15:36:54Z,5773.571667,2021-02-01 15:52:00Z,,2021-02-01 16:55:56Z,0.0128,2021-02-19,15.93625498,0.282,6.32014176,17462.5,263.7991667,2021-02-12 15:02:56Z,2021-02-16 14:46:54Z,0.398406375,16.93,-15.54252199,2021-02-01 18:49:26Z,0.275,0.15,-8.294096342,71.87166667,2318.489444,call,0.7,TRUE,IBN210219C00018000,-17.0212766,Finance,d0375758-8acd-40cc-b7ef-56b5026f7d8b,8.366533865,-,263.7991667,2021-02-04 15:36:54Z,2021-02-01 18:49:26Z,154.5454545,71.87166667,IBN,-11,2021-02-12 15:32:33Z,359.0383333,Commercial Banking
,4.096656851,,31.38832998,free,58879.10694,2021-02-22 15:17:14Z,502.8558333,29.57746479,4010,82.60869565,675.9877778,2021-02-02 14:45:32Z,0.532937626,2021-02-02 15:35:13Z,6.841046278,-0.628019324,2021-02-09 14:46:10Z,,1070,,0.2525,7.580091533,Itau Unibanco Holding S.A. - ADR,0.43,54.72837022,,-0.0021,190.3380556,2021-02-01 16:25:53Z,22.88388889,-8.695652174,-0.9157,5,0.4609,0.49,0.226111111,,47957.92361,2021-02-01 16:39:27Z,???????,2021-02-02 15:18:55Z,0.0122,2021-06-18,45.27162978,-0.3741,-5.303030303,184460,22.3275,2021-02-22 15:02:21Z,2021-03-01 20:25:09Z,0,5.28,3.416149068,,0.4591,0.42,15.8560056,23.15555556,21471.00667,put,0.97,TRUE,ITUB210618P00005000,1.456745854,Finance,8c11689a-bc60-4c13-8032-ad8f6b8225e1,16.70020121,-,22.3275,,,110.8695652,,ITUB,108,2021-02-02 14:45:32Z,0,Commercial Banking
358.8344444,-16.63265306,,8.163265306,free,106254.4458,2021-02-23 15:02:44Z,525.8261111,0,1854,-15.15151515,525.8261111,2021-02-03 15:51:56Z,2.78154519,2021-02-16 16:32:43Z,0.583090379,-4.868247694,2021-02-23 15:02:44Z,,259,23.74583333,0.0045,-23.35068749,Jumia Technologies Ag - ADR,3.1,85.71428571,71.19666667,-0.0296,525.8261111,2021-02-01 17:13:10Z,1.865,-50.90909091,-3.6743,31,1.1999,3.5,0.252777778,2021-02-16 14:46:01Z,1578.225,2021-02-01 17:28:20Z,?????????,2021-02-01 19:05:04Z,0.0675,2021-06-18,14.28571429,-0.1119,-46.43165716,611820,525.8261111,,2021-02-23 15:02:44Z,0,57.87,-13.39187328,2021-02-02 16:57:55Z,3.3,1.62,-15.71075183,359.3258333,1051.896389,put,5.55,FALSE,JMIA210618P00031000,-13.39187328,Technology Services,15364ed5-c11f-4ea6-a2c8-edf99af5490a,0.874635569,-,46.64611111,2021-02-16 16:03:14Z,2021-02-04 16:24:58Z,68.18181818,357.5475,JMIA,108,2021-02-23 15:02:44Z,0,Electronic Shopping
