underlying_purchase_price,time_to_first_plus_fifty_timestamp,rho,high_diff_time,time_to_first_minus_twenty,strike_price,amount_of_time_above_thirty_percent,theo,tags,time_to_first_plus_fifty,theta,gamma,time_to_first_plus_twenty_timestamp,time_to_first_plus_twenty,amount_of_time_above_itm_percent,industry_type,time_spent_below_zero_in_hours,time_to_first_plus_hundred,low_date_time,avg_ask,time_to_first_minus_thirty_timestamp,high_date_time,time_to_first_minus_fourty_timestamp,emojis,sector,time_to_first_plus_thirty_timestamp,avg_seven_day_return,days_to_expiry,avg_twentyone_day_return,amount_of_time_above_ten_percent,tier,avg_three_day_return,delta,volume,avg_one_day_return,amount_of_time_above_zero_percent,time_to_first_plus_fourty,time_to_first_minus_twenty_timestamp,avg_fourteen_day_return,time_to_first_plus_thirty,option_symbol,time_to_first_minus_thirty,amount_of_time_below_zero_percent,diff,time_to_first_plus_ten_timestamp,time_spent_above_fifty_in_hours,amount_of_time_above_hundred_percent,time_to_first_minus_fourty,high_return,time_to_first_minus_fifty_timestamp,low_diff_time,time_to_first_plus_ten,low,company_name,open_interest,time_spent_above_thirty_in_hours,time_to_first_plus_hundred_timestamp,ever_itm,ask,vega,ticker_symbol,high,bid,time_to_first_minus_ten,option_type,buy_amount,low_return,implied_volatility,alert_time,id,expires_at,itm_time,time_spent_above_hundred_in_hours,current_return,amount_of_time_above_fifty_percent,time_to_first_plus_fourty_timestamp,time_to_first_minus_fifty,avg_return,time_to_first_minus_ten_timestamp
418.95,2021-05-04 14:03:38Z,-0.6242,26.11472222,49.68722222,383,17.29957806,0.325,-,23.97,-0.061,0.0038,2021-05-04 13:46:03Z,23.67694444,0,,25116.84139,25.58027778,2021-05-04 16:12:19Z,0.282320675,2021-05-05 16:20:56Z,2021-05-14 16:29:13Z,2021-05-07 14:04:35Z,?????????,,2021-05-04 14:03:38Z,-4.981172673,-20,-13.13209997,24.47257384,free,19.48717949,-0.0373,900,40.78492936,32.06751055,23.97,2021-05-05 15:46:40Z,-13.13209997,23.97,SPY210517P00383000,50.25833333,67.93248945,-8.58097625,2021-05-03 14:19:39Z,2098.347778,1.687763713,95.98583333,149.2307692,2021-05-07 14:37:10Z,266.3963889,0.236944444,0.04,SSgA Active Trust - SSGA SPDR S&P 500,112,4040.850556,2021-05-04 15:40:15Z,FALSE,0.33,0.0675,SPY,0.81,0.32,47.67027778,put,29250,-87.69230769,0.2583,2021-05-03 14:05:26Z,1fe27daf-9471-403b-a883-f0ed17cda71b,2021-05-17,,104.4625,-87.69230769,11.81434599,2021-05-04 14:03:38Z,96.52888889,-13.13209997,2021-05-05 13:45:39Z
225.97,2021-05-11 13:46:13Z,-20.5565,221.6463889,575.6588889,209,17.37588652,6.1516,-,191.6613889,-0.0521,0.01,2021-05-04 14:19:49Z,24.22138889,0,,127164.2067,,2021-05-12 19:45:19Z,6.542801418,2021-05-28 13:46:25Z,2021-06-04 20:13:27Z,2021-06-04 19:53:15Z,??????????????,,2021-05-06 14:37:03Z,10.22925876,75,21.32499374,43.61702128,premium,13.41071911,-0.2766,776,8.807123823,57.80141844,191.6613889,2021-05-27 13:46:04Z,22.8054209,72.50861111,IWM210820P00209000,599.6647222,42.19858156,-7.50984644,2021-05-03 14:19:47Z,10973.52306,0,773.7786111,83.29278183,,774.1152778,0.220833333,3.62,BlackRock Institutional Trust Company N.A. - BTC iShares Russell 2000,167,26476.73667,,FALSE,6.2,0.4134,IWM,11.3,6.13,553.8958333,put,478404,-41.28142741,0.2695,2021-05-03 14:06:32Z,49be0b7f-a8ce-43fe-9f80-5c49648b22bd,2021-08-20,,0,-41.28142741,7.978723404,2021-05-11 13:46:13Z,,6.128165749,2021-05-26 16:00:17Z
39.43,2021-05-07 20:09:35Z,-0.3174,170.3736111,23.90944444,34.5,6.006006006,0.45,-,102.0033333,-0.0351,0.0424,2021-05-07 18:46:51Z,100.6244444,0,Commercial Banking,62600.6075,,2021-05-10 16:31:48Z,0.233903904,2021-05-04 14:03:57Z,2021-05-19 14:37:32Z,2021-05-04 15:08:33Z,??,Finance and Insurance,2021-05-07 19:36:14Z,-6.457372415,-16,-50.23321194,8.708708709,premium,-24.0248227,-0.149,2000,-22.66608771,12.61261261,101.7255556,2021-05-04 14:03:57Z,-38.92888925,101.4475,VXX210521P00034500,23.90944444,87.38738739,-12.50317017,2021-05-03 14:19:51Z,2484.561111,0,24.98611111,89.36170213,2021-05-04 17:00:16Z,384.4691667,0.174444444,0.02,Barclays Bank PLC - ZC SP ETN REDEEM 23/01/2048 USD 27.193879 - Ser A,3,3195.466389,,FALSE,0.48,0.0205,VXX,0.89,0.46,2.716111111,put,94000,-95.74468085,0.6196,2021-05-03 14:09:23Z,ac29a560-cecd-4646-b7c6-b9259681fd4c,2021-05-21,,0,-95.74468085,4.504504505,2021-05-07 19:52:55Z,26.84805556,-50.23321194,2021-05-03 16:52:21Z
51.97,2021-05-04 16:28:41Z,0.6882,167.5786111,23.86694444,57,47.76119403,0.66,-,26.27416667,-0.0301,0.0467,2021-05-03 18:32:54Z,4.344444444,16.20469083,Petroleum Refineries,86466.99306,26.27416667,2021-05-10 13:46:57Z,0.97641791,2021-05-04 14:04:15Z,2021-05-28 14:19:15Z,2021-05-20 14:52:59Z,??????,Energy Minerals,2021-05-04 16:28:41Z,97.12974819,-9,79.26906864,52.87846482,premium,50.23674242,0.2041,2500,11.2244898,55.2238806,26.27416667,2021-05-04 14:04:15Z,106.0199698,26.27416667,COP210528C00057000,23.86694444,44.7761194,9.678660766,2021-05-03 14:20:13Z,42522.21917,22.17484009,408.6791667,334.8484848,2021-05-24 14:00:57Z,600.1169444,0.133055556,0.02,Conoco Phillips,19,45813.05778,2021-05-04 16:28:41Z,TRUE,0.77,0.0386,COP,2.87,0.55,0.699444444,call,165000,-96.96969697,0.4429,2021-05-03 14:12:14Z,62496d05-0a88-411d-9b3c-650289ec08fb,2021-05-28,2021-05-07 17:23:01Z,23424.87278,-96.96969697,44.13646055,2021-05-04 16:28:41Z,503.8119444,47.94210764,2021-05-03 14:54:12Z
17.09,2021-05-10 15:54:40Z,0.1922,340.7919444,191.8436111,19.5,12.65060241,0.4023,-,169.6983333,-0.0254,0.1068,2021-05-03 18:32:55Z,4.335833333,0,Department Stores (except Discount Department Stores),47566.25583,336.9127778,2021-05-17 19:00:17Z,0.361114458,2021-05-11 14:53:01Z,2021-05-20 15:41:55Z,2021-05-12 19:45:39Z,???,Retail Trade,2021-05-03 18:49:37Z,13.64468864,-16,-7.406549274,32.22891566,free,12.5534188,0.248,7537,17.58241758,44.87951807,5.760555556,2021-05-11 14:03:23Z,5.433925049,4.614166667,M210521C00019500,192.6708333,55.12048193,14.10181393,2021-05-03 14:20:12Z,7967.599722,2.710843373,221.5480556,115.3846154,2021-05-13 15:55:55Z,409.4858333,0.123888889,0.02,Macy`s Inc,212,10243.53194,2021-05-17 15:07:32Z,FALSE,0.4,0.0121,M,0.84,0.38,73.26805556,call,293943,-94.87179487,0.7743,2021-05-03 14:12:46Z,d68b4af1-8723-4604-acf8-f80c8a278218,2021-05-21,,3061.865556,-94.87179487,7.530120482,2021-05-03 19:58:24Z,241.7191667,-7.406549274,2021-05-06 15:28:51Z
80.06,,0.7153,0.238333333,0.805277778,90.5,0,0.555,-,,-0.0365,0.0258,,,0,Semiconductor and Related Device Manufacturing,87318.23833,,2021-05-03 14:36:12Z,0.158713137,2021-05-03 19:23:46Z,2021-05-24 14:18:05Z,2021-05-04 15:24:16Z,??????,Electronic Technology,,-49.72527473,-9,-71.32666925,0,free,-41.07142857,0.1358,824,-30.94023324,0,,2021-05-03 15:10:13Z,-64.3943509,,AMD210528C00090500,5.031111111,100,13.04021984,2021-05-03 14:36:12Z,0,0,25.03944444,0,2021-05-04 18:19:24Z,503.9363889,0.238333333,0.02,Advanced Micro Devices Inc.,86,0,,FALSE,0.59,0.046,AMD,0.56,0.53,0.529166667,call,46144,-96.42857143,0.4007,2021-05-03 14:21:54Z,300f497a-5ebf-4f32-9ca4-cb4b431a6985,2021-05-28,,0,-94.64285714,0,,27.95833333,-71.65836844,2021-05-03 14:53:39Z
80.06,2021-05-04 13:46:03Z,-0.9519,243.7422222,96.24972222,73,46.23893805,0.7183,-,23.39666667,-0.0388,0.0308,2021-05-03 15:44:26Z,1.369722222,0.663716814,Semiconductor and Related Device Manufacturing,77926.42833,191.3983333,2021-05-13 18:06:47Z,0.904823009,2021-05-07 16:00:06Z,2021-05-27 19:08:24Z,2021-05-20 15:58:17Z,???,Electronic Technology,2021-05-03 20:14:10Z,37.88850039,-9,46.95387293,56.85840708,premium,44.7193287,-0.1627,1417,49.34807256,60.84070796,23.39666667,2021-05-07 14:37:14Z,79.6947613,5.865277778,AMD210528P00073000,97.63083333,39.15929204,-8.81838621,2021-05-03 14:36:12Z,38291.44833,16.81415929,409.6005556,279.1666667,2021-05-20 17:37:35Z,580.7691667,0.2325,0.02,Advanced Micro Devices Inc.,283,43405.17528,2021-05-11 13:46:09Z,TRUE,0.75,0.0518,AMD,2.73,0.69,96.24972222,put,102024,-97.22222222,0.3786,2021-05-03 14:22:15Z,8508ac68-976e-45ac-9ce2-c2be3247eff0,2021-05-28,2021-05-13 17:49:55Z,19470.76833,-97.22222222,38.49557522,2021-05-04 13:46:03Z,411.2555556,25.66986234,2021-05-07 14:37:14Z
60.59,2021-05-04 13:46:14Z,-0.7698,191.3525,412.3225,51,56.47969052,0.715,-,23.35194444,-0.0335,0.0213,2021-05-03 15:44:29Z,1.322777778,2.127659574,Software Publishers,111489.9289,23.64444444,2021-05-11 13:46:16Z,1.335396518,2021-05-21 14:01:11Z,2021-06-01 15:42:05Z,2021-05-21 14:17:10Z,??????????,Technology Services,2021-05-03 17:59:28Z,188.7764718,-2,153.0541012,60.15473888,premium,175.8274232,-0.1319,600,131.871472,62.08897485,23.35194444,2021-05-20 18:44:28Z,216.6747875,3.5725,SNAP210604P00051000,431.6011111,37.91102515,-15.82769434,2021-05-03 14:36:18Z,53249.84361,47.77562863,431.8675,431.9148936,2021-05-21 14:51:04Z,697.2827778,0.186388889,0.02,Snap Inc - Class A,26,58746.3125,2021-05-04 14:03:47Z,TRUE,0.76,0.0385,SNAP,3.75,0.65,411.77,put,42300,-97.16312057,0.5557,2021-05-03 14:25:07Z,50538528-f174-44b5-a4d9-90187dd89e02,2021-06-04,2021-05-10 15:17:55Z,43760.43139,-97.16312057,52.80464217,2021-05-04 13:46:14Z,432.4325,89.41794587,2021-05-20 18:11:19Z
279.83,,-49.6233,221.5691667,1.006111111,255,0,7.65,-,,-0.0321,0.007,,,0,-,48055.29472,,2021-05-12 20:02:03Z,6.112179487,2021-05-04 14:21:06Z,2021-05-10 15:53:24Z,2021-05-07 14:38:23Z,???,,,-17.31590414,194,-15.55555556,0,premium,-3.522149601,-0.2561,2000,-3.230625584,0,,2021-05-03 15:28:16Z,-15.03267974,,BRKB211217P00255000,23.88666667,100,-8.87324447,2021-05-03 14:37:15Z,0,0,96.17472222,5.882352941,2021-05-10 14:23:22Z,169.425,0.155833333,4.6,Berkshire Hathaway Inc.,210,0,,FALSE,9.8,0.7125,BRKB,8.1,5.5,0.155833333,put,1530000,-39.86928105,0.2062,2021-05-03 14:27:54Z,c8bb81ab-6bf0-4ca4-860e-d920b313a11c,2021-12-17,,0,-18.95424837,0,,167.9244444,-20.10222893,2021-05-03 14:37:15Z
39.88,,-0.1179,23.85416667,48.11416667,33.5,0,0.2399,-,,-0.0392,0.0297,2021-05-04 14:21:08Z,23.85416667,0,Television Broadcasting,23533.09083,,2021-05-04 14:21:08Z,0.104851485,2021-05-06 14:04:31Z,2021-05-13 13:46:51Z,2021-05-06 14:04:31Z,????,Consumer Services,,-42.6558753,-23,-56.31188119,4.95049505,free,-20.83333333,-0.0897,603,4.079861111,7.425742574,,2021-05-05 14:36:44Z,-56.31188119,,VIAC210514P00033500,71.57722222,92.57425743,-15.99799398,2021-05-03 14:36:21Z,0,0,71.57722222,33.33333333,2021-05-06 14:04:31Z,239.2827778,0.107777778,0.02,ViacomCBS Inc - Class B,36,0,,FALSE,0.25,0.0114,VIAC,0.32,0.23,2.374166667,put,14472,-91.66666667,0.7777,2021-05-03 14:29:53Z,d8d67ac2-ef25-4f6e-9281-827591f11c9f,2021-05-14,,0,-91.66666667,0,,71.57722222,-56.31188119,2021-05-03 16:52:20Z
