time_to_first_minus_thirty,company_name,time_to_first_plus_twenty,strike_price,low_return,ever_itm,time_to_first_plus_thirty_timestamp,avg_return,underlying_purchase_price,theo,delta,time_to_first_plus_hundred,time_spent_below_zero_in_hours,avg_ask,time_to_first_plus_ten,time_to_first_plus_fifty,industry_type,time_to_first_minus_ten,gamma,itm_time,low,expires_at,tier,implied_volatility,time_spent_above_fifty_in_hours,vega,time_to_first_minus_thirty_timestamp,time_to_first_minus_fifty,time_to_first_minus_ten_timestamp,amount_of_time_above_hundred_percent,bid,time_to_first_plus_hundred_timestamp,high_date_time,emojis,time_to_first_minus_fifty_timestamp,avg_seven_day_return,amount_of_time_above_zero_percent,days_to_expiry,time_to_first_minus_twenty,high_diff_time,time_to_first_plus_ten_timestamp,ticker_symbol,amount_of_time_above_thirty_percent,amount_of_time_above_itm_percent,time_to_first_plus_twenty_timestamp,time_spent_above_hundred_in_hours,avg_one_day_return,time_to_first_plus_fourty_timestamp,sector,current_return,alert_time,diff,amount_of_time_below_zero_percent,avg_fourteen_day_return,time_to_first_minus_fourty,buy_amount,theta,time_to_first_plus_fourty,avg_three_day_return,id,amount_of_time_above_ten_percent,option_symbol,time_to_first_minus_twenty_timestamp,ask,tags,time_to_first_plus_thirty,time_to_first_minus_fourty_timestamp,volume,option_type,high_return,low_date_time,avg_twentyone_day_return,low_diff_time,open_interest,high,time_spent_above_thirty_in_hours,time_to_first_plus_fifty_timestamp,rho,amount_of_time_above_fifty_percent
,Barclays plc - ADR,,9,0,FALSE,,15.2979066,10.03,0.4495,-0.2919,,1456.835833,0.51884058,0.265277778,,Commercial Banking,51.82888889,0.1575,,0.45,2021-12-17,free,0.354,0,0.0209,,,2021-08-04 17:54:25Z,0,0.4,,2021-08-04 13:46:25Z,?????????,,15.2979066,49.27536232,98,,47.69555556,2021-08-02 14:20:36Z,BCS,0,0,,0,19.3236715,,Finance,0,2021-08-02 14:04:41Z,-10.26919242,50.72463768,15.2979066,,14715,-0.0029,,15.2979066,4c09fed6-26c3-490f-9725-5c87a7adeadf,49.27536232,BCS211217P00009000,,0.5,-,,,327,put,22.22222222,2021-08-04 17:54:25Z,15.2979066,51.82888889,51,0.55,0,,-1.2658,0
0.827777778,Kraft Heinz Co,,36,-83.78378378,FALSE,,-47.09254709,38.68,0.1844,-0.1371,,2890.318611,0.097878788,0.254166667,,Fruit and Vegetable Canning,0.542777778,0.0852,,0.03,2021-08-06,premium,0.6147,0,0.0092,2021-08-02 14:54:29Z,47.99638889,2021-08-02 14:37:23Z,0,0.12,,2021-08-02 14:20:04Z,???????,2021-08-04 14:04:36Z,-47.09254709,1.515151515,-35,0.542777778,0.254166667,2021-08-02 14:20:04Z,KHC,0,0,,0,-8.845208845,,Consumer Defensive,-78.37837838,2021-08-02 14:04:49Z,-6.928645295,98.48484848,-47.09254709,47.99638889,92500,-0.0674,,-47.09254709,547bd8d8-f322-44a1-9d09-ee4ca00207ef,0,KHC210806P00036000,2021-08-02 14:37:23Z,0.25,-,,2021-08-04 14:04:36Z,5000,put,40.54054054,2021-08-05 15:26:29Z,-47.09254709,73.36111111,45,0.26,0,,-0.0643,0
217.2866667,NVIDIA Corp,1.049722222,210,-87.76119403,TRUE,2021-08-02 15:44:45Z,67.28345587,194.62,3.325,0.2659,71.65361111,56115.13167,5.603995772,0.194444444,23.9025,Semiconductor and Related Device Manufacturing,215.9116667,0.0151,2021-08-23 13:45:34Z,0.41,2021-08-27,premium,0.4239,69994.20139,0.1681,2021-08-11 15:24:42Z,360.2183333,2021-08-11 14:02:12Z,28.54122622,3.25,2021-08-05 13:46:43Z,2021-08-27 19:48:25Z,??????????,2021-08-17 14:20:36Z,66.01607348,65.11627907,-14,217.2866667,605.6819444,2021-08-02 14:19:10Z,NVDA,50.10570825,24.31289641,2021-08-02 15:10:29Z,64402.3675,34.51889489,2021-08-02 17:27:38Z,Technology,402.9850746,2021-08-02 14:07:30Z,7.902579385,34.88372093,33.34350972,359.645,1520900,-0.141,3.335555556,65.49882168,52a93d95-404c-444b-8fd5-4b6a0a5cd907,56.65961945,NVDA210827C00210000,2021-08-11 15:24:42Z,3.45,-,1.620833333,2021-08-17 13:46:12Z,4540,call,405.9701493,2021-08-19 14:21:22Z,21.39225746,408.2311111,743,16.95,74317.81222,2021-08-03 14:01:39Z,3.3544,40.59196617
,Pfizer Inc.,3.564722222,49,3.50877193,TRUE,2021-08-03 14:01:30Z,259.7194064,43.62,0.5707,0.1919,29.52416667,0,2.050400616,0.151388889,24.99416667,Pharmaceutical Preparation Manufacturing,,0.0477,2021-08-17 14:04:28Z,0.59,2021-12-17,premium,0.2135,285086.3142,0.0729,,,,88.28967643,0.56,2021-08-03 19:41:36Z,2021-08-18 15:59:27Z,?????,,95.25942516,100,98,,385.8216667,2021-08-02 14:19:14Z,PFE,96.61016949,15.10015408,2021-08-02 17:44:02Z,280781.5167,52.85554311,2021-08-03 14:35:14Z,Healthcare,107.0175439,2021-08-02 14:10:09Z,12.33379184,0,192.2888617,,145122,-0.0053,24.41805556,90.82179132,553e7174-71f2-4700-af5d-81dc7c719e04,99.22958398,PFE211217C00049000,,0.58,-,23.85583333,,2546,call,777.1929825,2021-08-02 14:19:14Z,305.8666667,0.151388889,400,5,285183.4361,2021-08-03 15:09:48Z,2.933,95.99383667
97.855,Freeport-McMoRan Inc,0.978888889,34,-77.77777778,FALSE,2021-08-02 15:10:33Z,97.22222222,38.92,0.0892,-0.0588,1.276388889,7676.12,0.1775,0.125277778,0.978888889,Copper  Nickel  Lead  and Zinc Mining,96.72722222,0.0343,,0.02,2021-08-13,free,0.4994,3787.257222,0.008,2021-08-06 16:03:07Z,171.1511111,2021-08-06 14:55:27Z,58.10810811,0.08,2021-08-02 15:28:24Z,2021-08-03 14:18:58Z,?????,2021-08-09 17:20:53Z,109.4202899,63.51351351,-28,97.02444444,24.11916667,2021-08-02 14:19:20Z,FCX,60.81081081,0,2021-08-02 15:10:33Z,3616.869444,163.4567901,2021-08-02 15:10:33Z,Basic Materials,-77.77777778,2021-08-02 14:11:49Z,-12.64131552,36.48648649,97.22222222,170.0708333,15435,-0.018,0.978888889,173.3091787,c49ba1e1-e8bb-4a72-8c11-da7b14ef888f,63.51351351,FCX210813P00034000,2021-08-06 15:13:17Z,0.1,-,0.978888889,2021-08-09 16:16:04Z,1715,put,333.3333333,2021-08-10 18:41:30Z,97.22222222,196.4947222,454,0.39,3883.427778,2021-08-02 15:10:33Z,-0.0735,60.13513514
5.810277778,Square Inc - Class A,1.541111111,320,-92.30769231,FALSE,2021-08-02 18:35:19Z,-34.57532051,267.41,0.2589,0.028,73.22916667,3570.251389,0.170104167,0.116666667,4.375555556,Data Processing  Hosting  and Related Services,0.4025,0.0026,,0.02,2021-08-06,premium,0.8628,234.5175,0.0185,2021-08-02 20:01:24Z,24.37472222,2021-08-02 14:36:56Z,3.125,0.23,2021-08-05 15:26:32Z,2021-08-05 15:59:59Z,????????????????,2021-08-03 14:35:16Z,-34.57532051,13.54166667,-35,0.686111111,73.78666667,2021-08-02 14:19:47Z,SQ,7.291666667,0,2021-08-02 15:45:15Z,220.5130556,-24.30441899,2021-08-02 18:35:19Z,Technology Services,-92.30769231,2021-08-02 14:12:47Z,19.66642983,86.45833333,-34.57532051,5.810277778,15080,-0.1869,4.375555556,-32.83705542,41bb030b-579c-4452-af8a-9f5677685d47,11.45833333,SQ210806C00320000,2021-08-02 14:53:57Z,0.29,-,4.375555556,2021-08-02 20:01:24Z,580,call,146.1538462,2021-08-06 14:55:34Z,-34.57532051,96.71305556,59,0.64,308.5705556,2021-08-02 18:35:19Z,0.0844,6.25
,Nokia Corp - ADR,29.91083333,7,-4.709141274,TRUE,2021-08-20 13:46:29Z,1.763747229,6.11,1.8071,-0.5035,,225114.1881,1.836835637,0.255277778,,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,,0.1278,2021-08-02 14:36:17Z,1.72,2022-12-16,free,0.4362,0,0.0285,,,,0,1.76,,2021-08-20 13:46:29Z,???????????????,,0.55401662,23.19508449,462,,431.4252778,2021-08-02 14:36:17Z,NOK,0.153609831,100,2021-08-03 20:15:37Z,0,0.421534385,2021-08-20 13:46:29Z,Electronic Technology,1.385041551,2021-08-02 14:20:58Z,14.56628478,76.80491551,1.359666744,,72200,-0.0012,431.4252778,0.282965478,a6f6fca7-e682-4097-a682-7f5099fa553a,0.921658986,NOK221216P00007000,,1.85,-,431.4252778,,400,put,53.46260388,2021-08-03 14:35:19Z,2.33142538,24.23916667,50,2.77,431.4252778,,-6.7037,0
0.817777778,XPeng Inc - ADR,,41,-94.70198675,TRUE,,-49.76182177,43.11,0.755,-0.2817,,5724.884444,0.379298246,0.250277778,,Automobile Manufacturing,0.250277778,0.0822,2021-08-06 15:29:56Z,0.04,2021-08-06,premium,0.8801,0,0.0157,2021-08-02 15:10:26Z,47.4125,2021-08-02 14:36:23Z,0,0.72,,2021-08-03 15:43:50Z,??????????????,2021-08-04 13:46:07Z,-49.76182177,5.263157895,-35,0.250277778,25.37444444,2021-08-02 14:36:23Z,XPEV,0,7.01754386,,0,-18.54304636,,Consumer Durables,-94.70198675,2021-08-02 14:21:22Z,-4.894456043,94.73684211,-49.76182177,3.954166667,84635.5,-0.1637,,-46.5498825,cbc578ac-aab1-4899-84a2-d48e9d738cb2,3.50877193,XPEV210806P00041000,2021-08-02 14:36:23Z,0.79,-,,2021-08-02 18:18:37Z,1121,put,23.17880795,2021-08-06 19:53:51Z,-49.76182177,101.5413889,285,0.93,0,,-0.1509,0
24.75861111,Alibaba Group Holding Ltd - ADR,,177.5,-95.18072289,FALSE,,-53.32634887,199.67,0.4138,-0.06,,3742.765833,0.193695652,0.207222222,,Software Publishers,0.207222222,0.0077,,0.02,2021-08-06,premium,0.7191,0,0.0257,2021-08-03 15:09:32Z,29.85972222,2021-08-02 14:36:27Z,0,0.36,,2021-08-03 14:19:02Z,?????????????????,2021-08-03 20:15:36Z,-53.32634887,0,-35,23.36861111,23.91694444,2021-08-02 14:36:27Z,BABA,0,0,,0,-22.53268393,,Retail Trade,-92.77108434,2021-08-02 14:24:01Z,-11.10332048,100,-53.32634887,24.75861111,72874,-0.2171,,-52.42302544,00021cad-16ed-4249-9cad-ad9dac907197,0,BABA210806P00177500,2021-08-03 13:46:08Z,0.47,-,,2021-08-03 15:09:32Z,1756,put,3.614457831,2021-08-06 15:13:21Z,-53.32634887,96.82222222,171,0.43,0,,-0.145,0
383.6336111,Vinco Ventures Inc,23.31222222,3.5,-46.66666667,TRUE,2021-08-03 13:45:24Z,139.2345679,3.44,1.1241,0.6592,604.2291667,92979.45028,2.691388889,0.182222222,263.3355556,Doll  Toy  and Game Manufacturing,25.00111111,0.1241,2021-08-27 13:46:47Z,0.6,2022-12-16,premium,0.734,151957.0303,0.0148,2021-08-18 14:04:41Z,,2021-08-03 15:26:44Z,35,1.1,2021-08-27 18:40:25Z,2021-09-08 13:45:03Z,????????????,,-7.1875,41.48148148,462,27.54722222,887.3063889,2021-08-02 14:37:36Z,BBIG,37.22222222,38.33333333,2021-08-03 13:45:24Z,147468.8428,-1.739130435,2021-08-13 13:46:48Z,Commercial Services,611.1111111,2021-08-02 14:26:40Z,1.744186047,58.51851852,-10.41173153,431.9369444,234562.5,-0.0011,263.3355556,-4.119850187,ca40be81-f406-41f6-ae76-ff0f9e3086a7,38.51851852,BBIG221216C00003500,2021-08-03 17:59:30Z,1.15,-,23.31222222,2021-08-20 14:22:53Z,2085,call,788.8888889,2021-08-20 14:39:10Z,-16.36513837,432.2083333,60,10,153786.2497,2021-08-13 13:46:48Z,1.5663,36.48148148
