SLV,Put,9/28/2021 08:10,Tuesday,08:10,2021-10-08,9,19.0,20.62,-7.86%,20055,1541,13.014276443867619,39.62%,-0.0967,0.1246,0.0059,-0.0114,-0.0581,0.07
SLB,Call,9/28/2021 08:13,Tuesday,08:13,2021-10-15,16,34.0,31.46,8.07%,686,28,24.5,43.51%,0.2135,0.0979,0.0199,-0.025,0.3009,0.38
WFC,Put,9/28/2021 08:40,Tuesday,08:40,2021-11-05,37,40.0,45.31,-11.72%,302,44,6.863636363636363,42.96%,-0.1652,0.0394,0.0365,-0.0205,-0.8472,0.64
XLE,Put,9/28/2021 08:40,Tuesday,08:40,2021-10-22,23,47.5,52.91,-10.22%,664,67,9.91044776119403,40.07%,-0.1363,0.04,0.0298,-0.0246,-0.5055,0.41
PBR,Put,9/28/2021 08:43,Tuesday,08:43,2022-06-17,261,7.0,10.41,-32.76%,1005,1,1005.0,52.02%,-0.1519,0.0503,0.0203,-0.0024,-1.463,0.51
INFY,Put,9/28/2021 08:47,Tuesday,08:47,2021-11-19,51,20.0,22.2,-9.91%,800,5,160.0,31.64%,-0.1798,0.0985,0.022,-0.0069,-0.6115,0.35
TEVA,Call,9/28/2021 09:06,Tuesday,09:06,2021-11-05,37,10.5,9.29,13.02%,1490,9,165.55555555555554,47.53%,0.2373,0.216,0.0093,-0.0058,0.2117,0.22
CCL,Call,9/28/2021 09:48,Tuesday,09:48,2021-10-08,9,30.0,26.26,14.24%,2077,482,4.309128630705394,57.37%,0.0892,0.0641,0.0071,-0.0199,0.0627,0.11
EWJ,Put,9/28/2021 09:54,Tuesday,09:54,2022-01-21,114,63.0,71.03,-11.31%,5000,64,78.125,23.37%,-0.1719,0.0273,0.1015,-0.0108,-4.1428,0.97
C,Put,9/28/2021 10:26,Tuesday,10:26,2021-11-19,51,57.5,71.68,-19.78%,10021,1946,5.149537512846865,44.25%,-0.0854,0.013,0.0423,-0.0186,-0.9485,0.51
LQD,Put,9/28/2021 10:29,Tuesday,10:29,2021-12-17,79,127.0,133.76,-5.05%,3000,227,13.215859030837004,9.88%,-0.1621,0.0395,0.1535,-0.0117,-4.8875,0.65
HBAN,Put,9/28/2021 10:31,Tuesday,10:31,2022-04-14,197,12.0,15.72,-23.66%,571,11,51.90909090909091,38.27%,-0.144,0.051,0.0262,-0.0027,-1.432,0.40
OXY,Put,9/28/2021 10:56,Tuesday,10:56,2021-12-17,79,20.0,29.7,-32.66%,1947,629,3.0953895071542132,66.48%,-0.0768,0.0156,0.0201,-0.0083,-0.5821,0.40
XLU,Call,9/28/2021 11:19,Tuesday,11:19,2021-12-17,79,72.0,63.45,13.48%,2631,245,10.738775510204082,15.60%,0.0456,0.0206,0.0285,-0.0028,0.6166,0.10
PYPL,Call,9/28/2021 11:20,Tuesday,11:20,2021-10-15,16,287.5,261.94,9.76%,2510,284,8.838028169014084,29.79%,0.0785,0.0087,0.0832,-0.0723,0.9384,0.63
DAL,Call,9/28/2021 11:52,Tuesday,11:52,2021-11-05,37,50.0,43.75,14.29%,1677,42,39.92857142857143,36.27%,0.1407,0.0435,0.0316,-0.015,0.6066,0.40
UNG,Put,9/28/2021 12:05,Tuesday,12:05,2021-10-01,2,19.0,20.06,-5.28%,1539,399,3.857142857142857,103.44%,-0.2714,0.173,0.0061,-0.1028,-0.0493,0.36
BMY,Call,9/28/2021 12:10,Tuesday,12:10,2021-11-05,37,65.0,59.73,8.82%,1106,29,38.13793103448276,26.48%,0.1487,0.0452,0.0446,-0.0137,0.8878,0.42
CCJ,Call,9/28/2021 12:13,Tuesday,12:13,2021-10-08,9,22.0,20.93,5.11%,3236,579,5.588946459412781,73.57%,0.364,0.1465,0.0131,-0.0476,0.1946,0.62
XLK,Call,9/28/2021 12:26,Tuesday,12:26,2021-12-17,79,166.0,150.84,10.05%,1730,68,25.441176470588236,17.91%,0.1353,0.0172,0.1537,-0.0172,4.2974,0.85
MS,Call,9/28/2021 12:28,Tuesday,12:28,2021-10-29,30,115.0,101.74,13.03%,569,15,37.93333333333333,31.47%,0.0927,0.0177,0.0493,-0.0239,0.7708,0.48
CCL,Put,9/28/2021 12:37,Tuesday,12:37,2021-11-05,37,23.0,26.24,-12.35%,545,77,7.077922077922078,55.44%,-0.2059,0.0606,0.0241,-0.0177,-0.6258,0.62
ORCL,Call,9/28/2021 12:43,Tuesday,12:43,2021-10-01,2,95.0,90.34,5.16%,3355,686,4.89067055393586,33.27%,0.0512,0.038,0.0087,-0.047,0.0386,0.07
GLD,Put,9/28/2021 12:46,Tuesday,12:46,2022-03-18,170,131.0,162.23,-19.25%,424,12,35.333333333333336,19.65%,-0.0494,0.0047,0.1135,-0.0066,-3.9795,0.48
XLV,Put,9/28/2021 12:58,Tuesday,12:58,2021-10-15,16,122.0,128.1,-4.76%,1100,84,13.095238095238095,21.51%,-0.1415,0.0376,0.0621,-0.0391,-0.869,0.47
MRK,Call,9/28/2021 13:19,Tuesday,13:19,2021-10-15,16,79.0,73.59,7.35%,1671,191,8.74869109947644,24.03%,0.0918,0.0431,0.0262,-0.0185,0.3085,0.17
BP,Call,9/28/2021 13:30,Tuesday,13:30,2021-12-17,79,31.0,27.38,13.22%,3124,117,26.700854700854702,31.04%,0.196,0.0692,0.0353,-0.0062,1.0885,0.40
FSR,Call,9/28/2021 13:33,Tuesday,13:33,2021-10-01,2,16.0,15.21,5.19%,14639,4580,3.196288209606987,83.01%,0.2662,0.2841,0.0046,-0.0621,0.0324,0.19
FB,Put,9/28/2021 13:35,Tuesday,13:35,2021-10-01,2,290.0,342.4,-15.30%,2906,615,4.725203252032521,80.32%,-0.0108,0.0011,0.009,-0.1178,-0.0319,0.11
TEVA,Call,9/28/2021 13:52,Tuesday,13:52,2021-10-15,16,10.5,9.73,7.91%,8234,174,47.32183908045977,50.18%,0.257,0.3057,0.0068,-0.01,0.1095,0.16
QQQ,Put,9/28/2021 13:52,Tuesday,13:52,2021-10-27,28,305.0,361.26,-15.57%,1470,11,133.63636363636363,38.12%,-0.0517,0.0027,0.1079,-0.0708,-1.5557,0.90
