Ticker,Option Type,Alerted At,Day of Week,Time of Day,Expiry,Days to Exp.,Strike,Underlying,Diff %,Volume,Open Interest,Vol/OI,Implied Volatility,Delta,Gamma,Vega,Theta,Rho,Alert Ask,Score
BBBY,Call,2021-12-29 08:08,BAD|Wednesday,BEST|08:08,2022-01-07,BEST|8,OKAY|$16,OKAY|$15.1,BEST|5.96%,BEST|1249,OKAY|399,GOOD|313.03,GOOD|179.98%,BAD|0.4694,BAD|0.0958,BAD|0.0096,BAD|-0.0909,BEST|0.0014,OKAY|$140,60.94%
XPEV,Put,2021-12-29 08:08,GOOD|Wednesday,OKAY|08:08,2022-01-07,BEST|8,BAD|$39,BAD|$43.31,BAD|-9.95%,OKAY|876,BAD|88,GOOD|995.45,BEST|75.37%,BAD|-0.1753,BAD|0.0494,BEST|0.0178,BAD|-0.0726,BAD|-0.0019,GOOD|$59,51.56%
PFE,Put,2021-12-29 08:25,OKAY|Wednesday,OKAY|08:25,2022-01-21,BAD|22,GOOD|$54,GOOD|$57.53,GOOD|-6.14%,OKAY|1100,GOOD|351,OKAY|313.39,OKAY|31.47%,GOOD|-0.1992,GOOD|0.0611,OKAY|0.0408,BAD|-0.0274,OKAY|-0.0071,BEST|$54,59.38%
UVXY,Put,2021-12-29 08:25,BAD|Wednesday,BAD|08:25,2022-01-28,OKAY|29,GOOD|$11,OKAY|$13.03,BAD|-15.58%,GOOD|566,BAD|61,BEST|927.87,BAD|100.63%,BEST|-0.2336,OKAY|0.0802,BAD|0.0115,BAD|-0.0193,BEST|-0.0028,BAD|$61,50%
FCEL,Put,2021-12-29 08:28,BEST|Wednesday,BAD|08:28,2022-01-21,BAD|22,BAD|$4.5,BAD|$4.85,GOOD|-7.22%,BAD|36220,BAD|1795,GOOD|2017.83,GOOD|87.4%,BEST|-0.3241,OKAY|0.3357,BAD|0.0044,OKAY|-0.0084,OKAY|-0.001,BAD|$26,48.44%
CSCO,Put,2021-12-29 08:35,OKAY|Wednesday,BAD|08:35,2022-01-07,BAD|8,GOOD|$61,GOOD|$64.26,OKAY|-5.07%,OKAY|2558,OKAY|199,BAD|1285.43,BAD|23.86%,OKAY|-0.1144,BAD|0.0792,OKAY|0.0201,OKAY|-0.0248,BAD|-0.0019,BAD|$14,42.19%
QCOM,Put,2021-12-29 08:43,OKAY|Wednesday,BAD|08:43,2022-04-14,OKAY|105,BEST|$175,BEST|$185.83,BEST|-5.83%,BAD|1000,BAD|321,BAD|311.53,GOOD|38.42%,BAD|-0.3503,BAD|0.0097,OKAY|0.3705,BAD|-0.067,BAD|-0.1958,OKAY|$1035,48.44%
ATVI,Put,2021-12-29 08:47,OKAY|Wednesday,BAD|08:47,2022-02-04,BAD|36,OKAY|$57,OKAY|$66.52,BAD|-14.31%,OKAY|2448,OKAY|54,BAD|4533.33,BAD|56.42%,BAD|-0.133,BEST|0.0216,OKAY|0.046,BEST|-0.0284,OKAY|-0.0093,BAD|$190,45.31%
DIDI,Call,2021-12-29 08:50,BAD|Wednesday,BAD|08:50,2022-01-21,GOOD|22,BAD|$5.5,BAD|$5.04,BAD|9.13%,BAD|2162,BAD|102,GOOD|2119.61,OKAY|89.53%,BEST|0.3483,BEST|0.3183,GOOD|0.0046,GOOD|-0.0099,BEST|0.0008,BAD|$24,53.12%
AMD,Put,2021-12-29 09:04,OKAY|Wednesday,OKAY|09:04,2022-01-28,GOOD|29,GOOD|$139,BEST|$149,OKAY|-6.71%,BAD|515,GOOD|93,BAD|553.76,BAD|55.32%,OKAY|-0.3028,BAD|0.0147,OKAY|0.1499,OKAY|-0.1375,BAD|-0.0382,BAD|$505,48.44%
