Ticker,Option Type,Alerted At,Day of Week,Time of Day,Expiry,Days to Exp.,Strike,Underlying,Diff %,Volume,Open Interest,Vol/OI,Implied Volatility,Delta,Gamma,Vega,Theta,Rho,Alert Ask
FXI,Put,2021-09-07 08:27,BAD|Tuesday,BEST|30420,2021-10-08,BEST|30,OKAY|39.5,BAD|42.41,GOOD|-6.8615892478189,GOOD|6001,GOOD|1,BAD|6001,BAD|0.2926,OKAY|-0.1916,GOOD|0.0751,GOOD|0.0339,BAD|-0.0158,BEST|-0.7304,BEST|0.43
FUSE,Call,2021-09-07 08:32,BAD|Tuesday,BAD|30720,2021-10-15,BAD|37,BAD|12.5,BAD|9.99,BAD|25.1251251251251,BAD|2234,BAD|3,BAD|744.666666666667,BAD|1.319,BAD|0.1904,BAD|0.0591,BAD|0.0081,BAD|-0.0049,BAD|0.1585,BAD|0.5
XLF,Put,2021-09-07 08:45,BAD|Tuesday,OKAY|31500,2021-09-24,BAD|16,BAD|36,BAD|38.06,BAD|-5.41250656857594,BAD|12449,BAD|216,BAD|57.6342592592593,OKAY|0.2494,GOOD|-0.1576,BAD|0.1167,OKAY|0.0199,BAD|-0.0153,BAD|-0.2918,BEST|0.18
EWJ,Call,2021-09-07 09:03,OKAY|Tuesday,BAD|32580,2021-10-15,OKAY|37,BAD|76,BAD|72.09,OKAY|5.42377583576085,BAD|4625,BAD|20,OKAY|231.25,GOOD|0.1648,BAD|0.1643,GOOD|0.0644,BAD|0.0577,BAD|-0.0124,BAD|1.2056,OKAY|0.35
AMRS,Call,2021-09-07 09:05,OKAY|Tuesday,BAD|32700,2021-10-08,BAD|30,GOOD|14.5,GOOD|13.71,GOOD|5.76221735959153,GOOD|400,OKAY|3,OKAY|133.333333333333,OKAY|0.7059,BAD|0.438,BAD|0.1383,OKAY|0.0159,OKAY|-0.0176,OKAY|0.4459,GOOD|0.9
IYR,Put,2021-09-07 09:25,BEST|Tuesday,BAD|33900,2021-09-24,GOOD|16,BEST|104.5,BEST|109.78,BAD|-4.80961923847696,OKAY|1275,OKAY|5,BEST|255,BEST|0.2117,OKAY|-0.1557,BAD|0.0473,OKAY|0.0569,GOOD|-0.0387,BEST|-0.8265,OKAY|0.44
LUV,Call,2021-09-07 09:34,BEST|Tuesday,BAD|34440,2021-09-17,OKAY|9,BAD|50.5,OKAY|48.06,BAD|5.076987099459,BAD|3074,OKAY|460,OKAY|6.68260869565217,BAD|0.3363,BAD|0.1976,OKAY|0.1027,BEST|0.0224,GOOD|-0.0366,BAD|0.2578,OKAY|0.3
DKNG,Call,2021-09-07 09:43,BEST|Tuesday,BAD|34980,2021-10-22,OKAY|44,BAD|80,BAD|62.31,BAD|28.3903065318568,BAD|263,BAD|1,OKAY|263,BAD|0.5324,OKAY|0.1069,OKAY|0.0158,BAD|0.0404,GOOD|-0.0238,OKAY|0.756,GOOD|0.6
EWZ,Put,2021-09-07 09:54,GOOD|Tuesday,BEST|35640,2021-11-19,GOOD|72,BAD|32,OKAY|36.48,BAD|-12.280701754386,BAD|582,BAD|3,BAD|194,OKAY|0.3854,BEST|-0.1999,GOOD|0.0444,BAD|0.0457,BAD|-0.0121,BAD|-1.6171,BAD|0.78
HIPO,Call,2021-09-07 09:58,NEW|Tuesday,NEW|35880,2021-10-15,NEW|37,NEW|7.5,NEW|6.41,NEW|17.0046801872075,NEW|6722,NEW|822,NEW|8.17761557177616,NEW|1.2736,NEW|0.4019,NEW|0.1428,NEW|0.0079,NEW|-0.0115,NEW|0.2066,NEW|0.65
